i,timestamp,trend,entry_score,wp,dp,rs,vs,bs,bb,ret5,ret5_hot,hot_ret5,breakout_entry,vshape,strong_breakout_context,alpha_ok_if_raw1,in_uptrend_macro,is_real_entry
1,2018-08-13 03:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0,0.06,False,False,False,False,False,False,False
2,2018-08-13 04:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0,0.06,False,False,False,False,False,False,False
3,2018-08-13 06:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0,0.06,False,False,False,False,False,False,False
4,2018-08-13 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0,0.06,False,False,False,False,False,False,False
5,2018-08-14 02:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.010359408033826512,0.06,False,False,False,False,False,False,False
6,2018-08-14 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.010914485535657548,0.06,False,False,False,False,False,False,False
7,2018-08-14 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0073894225694077775,0.06,False,False,False,False,False,False,False
8,2018-08-14 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.010106326981787594,0.06,False,False,False,False,False,False,False
9,2018-08-14 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.005344791448333552,0.06,False,False,False,False,False,False,False
10,2018-08-15 02:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.005335844318895111,0.06,False,False,False,False,False,False,False
11,2018-08-15 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.00429769392033541,0.06,False,False,False,False,False,False,False
12,2018-08-15 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.003877187467253629,0.06,False,False,False,False,False,False,False
13,2018-08-15 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.00031266284523179255,0.06,False,False,False,False,False,False,False
14,2018-08-15 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.013238819972896887,0.06,False,False,False,False,False,False,False
15,2018-08-16 02:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.02018940576542827,0.06,False,False,False,False,False,False,False
16,2018-08-16 03:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.022231499843440194,0.06,False,False,False,False,False,False,False
17,2018-08-16 04:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.02077244258872646,0.06,False,False,False,False,False,False,False
18,2018-08-16 06:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.016889074228523815,0.06,False,False,False,False,False,False,False
19,2018-08-16 07:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,0.00042256496936410315,0.06,False,False,False,False,False,False,False
20,2018-08-17 02:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.011152416356877248,0.06,False,False,False,False,True,True,False
21,2018-08-17 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.012809564474807855,0.06,False,False,False,False,True,True,False
22,2018-08-17 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.017268947873360974,0.06,False,False,False,False,True,True,False
23,2018-08-17 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.003711558854718966,0.06,False,False,False,False,True,True,False
24,2018-08-17 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0,0.06,False,False,False,False,True,True,False
25,2018-08-20 02:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0068277310924369505,0.06,False,False,False,False,True,True,False
26,2018-08-20 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.001475548060708265,0.06,False,False,False,False,True,True,False
27,2018-08-20 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.003877187467253407,0.06,False,False,False,False,False,False,False
28,2018-08-20 06:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0,0.06,False,False,False,False,False,False,False
29,2018-08-20 07:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.002111932418162654,0.06,False,False,False,False,False,False,False
30,2018-08-21 02:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0008461131676360534,0.06,False,False,False,False,False,False,False
31,2018-08-21 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0005277601857716085,0.06,False,False,False,False,False,False,False
32,2018-08-21 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.003366294971596906,0.06,False,False,False,False,False,False,False
33,2018-08-21 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0038034865293186115,0.06,False,False,False,False,False,False,False
34,2018-08-21 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.014285714285714235,0.06,False,False,False,False,False,False,False
35,2018-08-22 02:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.013420691112755012,0.06,False,False,False,False,False,False,False
36,2018-08-22 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.012343074163941425,0.06,False,False,False,False,False,False,False
37,2018-08-22 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.009921891492505885,0.06,False,False,False,False,False,False,False
38,2018-08-22 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.008525418377012928,0.06,False,False,False,False,False,False,False
39,2018-08-22 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0015649452269170805,0.06999999999999999,False,False,False,False,True,True,False
40,2018-08-23 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.00010427528675704956,0.06999999999999999,False,False,False,False,True,True,False
41,2018-08-23 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0023968320133389565,0.06999999999999999,False,False,False,False,True,True,False
42,2018-08-23 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.002508361204013543,0.06999999999999999,False,False,False,False,False,True,False
43,2018-08-23 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.004591943226883721,0.06999999999999999,False,True,False,True,True,True,False
44,2018-08-23 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0037617554858935254,0.06999999999999999,False,False,False,False,True,True,False
45,2018-08-24 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.00010426441455524404,0.06999999999999999,False,False,False,False,True,True,False
46,2018-08-24 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.00010446046171519452,0.06999999999999999,False,False,False,False,True,True,False
47,2018-08-24 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.00031276063386165287,0.06999999999999999,False,False,False,False,False,True,False
48,2018-08-24 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0027010180760440594,0.06999999999999999,False,False,False,False,True,True,False
49,2018-08-24 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0021861336664584785,0.06999999999999999,False,False,False,False,True,True,False
50,2018-08-27 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0032318598832359324,0.06999999999999999,False,False,False,False,True,True,False
51,2018-08-27 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.006686167989970793,0.06999999999999999,False,False,False,False,True,True,False
52,2018-08-27 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0058400250286787525,0.06999999999999999,False,False,False,False,False,True,False
53,2018-08-27 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.003854166666666714,0.06999999999999999,False,False,False,False,True,True,False
54,2018-08-27 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.004903495044340067,0.06999999999999999,False,False,False,False,True,True,False
55,2018-08-28 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0034292840070664354,0.06999999999999999,False,False,False,False,True,True,False
56,2018-08-28 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0020755500207554345,0.06999999999999999,False,False,False,False,False,True,False
57,2018-08-28 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.002799377916018697,0.06999999999999999,False,False,False,False,False,True,False
58,2018-08-28 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.001245200788626999,0.06999999999999999,False,False,False,False,True,True,False
59,2018-08-28 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.002491694352159346,0.06999999999999999,False,False,False,False,True,True,False
60,2018-08-29 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0007249378624689662,0.06999999999999999,False,False,False,False,False,True,False
61,2018-08-29 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.001346313173156699,0.06999999999999999,False,False,False,False,True,True,False
62,2018-08-29 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0020678246484697738,0.06999999999999999,False,False,False,False,False,True,False
63,2018-08-29 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.002694579749196846,0.06,False,False,False,False,True,True,False
64,2018-08-29 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0037282518641259532,0.06,False,False,False,False,True,True,False
65,2018-08-30 02:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.003420043527826655,0.06,False,False,False,False,True,True,False
66,2018-08-30 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.00279995851913295,0.06,False,False,False,False,True,True,False
67,2018-08-30 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0017612929962702584,0.06,False,False,False,False,False,True,False
68,2018-08-30 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0024940247324121145,0.06999999999999999,False,False,False,False,True,True,False
69,2018-08-30 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.008835758835758822,0.06999999999999999,False,True,False,True,True,True,False
70,2018-08-31 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.00883943427620637,0.06999999999999999,False,False,False,False,True,True,False
71,2018-08-31 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.008631447587354346,0.06999999999999999,False,False,False,False,False,True,False
72,2018-08-31 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.009237156201349128,0.06999999999999999,False,False,False,False,True,True,False
73,2018-08-31 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0044573442520989826,0.06999999999999999,False,False,False,False,True,True,False
74,2018-08-31 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.004945904173106586,0.06,False,False,False,False,True,True,False
75,2018-09-04 02:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0046386970415420725,0.06,False,False,False,False,True,True,False
76,2018-09-04 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.006495515001546548,0.06,False,False,False,False,True,True,False
77,2018-09-04 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.010489510489510412,0.06,False,False,False,False,False,True,False
78,2018-09-04 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.006707946336429349,0.06,False,False,False,False,True,True,False
79,2018-09-04 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.010044527285906657,0.06,False,False,False,False,True,True,False
80,2018-09-05 02:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.013566694283347114,0.06,False,False,False,False,True,True,False
81,2018-09-05 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.010585305105853093,0.06,False,False,False,False,True,True,False
82,2018-09-05 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.012679276657659555,0.06,False,False,False,False,True,True,False
83,2018-09-05 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.01568831168831175,0.06,False,False,False,False,True,True,False
84,2018-09-05 07:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.012552301255230103,0.06,False,False,False,False,False,False,False
85,2018-09-06 02:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.009553805774278223,0.06,False,False,False,False,False,False,False
86,2018-09-06 03:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.009230123767568599,0.06,False,False,False,False,False,False,False
87,2018-09-06 04:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.006105263157894725,0.06,False,False,False,False,False,False,False
88,2018-09-06 06:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.012455140384209362,0.06,False,False,False,False,False,False,False
89,2018-09-06 07:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.009851694915254172,0.06,False,False,False,False,False,False,False
90,2018-09-07 02:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.009009963960144196,0.06,False,False,False,False,False,False,False
91,2018-09-07 03:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.012915519796739439,0.06,False,False,False,False,False,False,False
