symbol,v34_entry,v34_exit,v34_entry_price,v34_exit_price,v34_pnl,v34_exit_reason,rule_entry,rule_exit,rule_entry_price,rule_exit_price,rule_pnl,entry_lag_days,exit_lag_days,entry_price_diff_pct,pnl_diff,pattern
AAS,2021-08-19,2021-12-16,8.65,15.33,77.23,signal,2021-08-03,2021-10-04,7.52,9.5,25.83,16.0,73.0,15.026595744680863,51.400000000000006,LATE_ENTRY_WORSE_PRICE
AAS,2021-08-19,2021-12-16,8.65,15.33,77.23,signal,2021-10-15,2021-12-10,11.42,15.21,32.69,-57.0,6.0,-24.25569176882662,44.540000000000006,EARLY_ENTRY
AAS,2022-02-21,2022-04-25,16.91,16.46,-2.66,signal,2022-02-07,2022-03-28,15.78,17.53,10.59,14.0,28.0,7.16096324461344,-13.25,LATE_ENTRY_WORSE_PRICE+LATE_EXIT_WORSE
AAS,2022-02-21,2022-04-25,16.91,16.46,-2.66,signal,2022-04-08,2022-04-19,19.91,17.98,-10.19,-46.0,6.0,-15.067805123053743,7.529999999999999,EARLY_ENTRY
AAS,2022-05-25,2022-06-13,13.57,12.33,-9.14,v32_hap_preempt,2022-06-03,2022-06-14,14.14,12.44,-12.52,-9.0,-1.0,-4.031117397454033,3.379999999999999,EARLY_ENTRY
AAS,2022-08-05,2022-08-22,12.05,11.14,-7.55,fast_exit_loss,2022-07-12,2022-08-11,9.95,11.37,13.77,24.0,11.0,21.10552763819097,-21.32,LATE_ENTRY_WORSE_PRICE+LATE_EXIT_WORSE
AAS,2022-11-18,2022-12-22,4.81,5.6,16.42,signal,2022-11-28,2022-12-21,5.71,5.6,-2.43,-10.0,1.0,-15.761821366024526,18.85,EARLY_ENTRY
AAS,2023-03-15,2023-07-25,5.77,9.48,64.3,signal,2023-03-15,2023-03-20,5.77,5.32,-8.3,0.0,127.0,0.0,72.6,OK
AAS,2023-03-15,2023-07-25,5.77,9.48,64.3,signal,2023-03-27,2023-04-25,5.6,6.39,13.61,-12.0,91.0,3.0357142857142847,50.69,EARLY_ENTRY
AAS,2023-03-15,2023-07-25,5.77,9.48,64.3,signal,2023-05-12,2023-07-21,7.07,9.39,32.31,-58.0,4.0,-18.387553041018396,31.989999999999995,EARLY_ENTRY
AAS,2023-08-07,2023-09-25,9.91,8.87,-10.49,v32_hap_preempt,2023-08-08,2023-08-18,10.26,9.22,-10.64,-1.0,38.0,-3.4113060428849864,0.15000000000000036,OK
AAS,2023-08-07,2023-09-25,9.91,8.87,-10.49,v32_hap_preempt,2023-08-31,2023-09-21,9.83,10.09,2.14,-24.0,4.0,0.8138351983723303,-12.63,EARLY_ENTRY+LATE_EXIT_WORSE
AAS,2023-11-02,2023-12-22,7.48,8.4,12.3,signal,2023-11-06,2023-12-15,7.83,8.4,6.78,-4.0,7.0,-4.469987228607914,5.5200000000000005,EARLY_ENTRY
AAS,2024-02-20,2024-04-09,8.6,9.0,4.65,signal,2024-02-15,2024-03-18,8.4,8.9,5.45,5.0,22.0,2.3809523809523725,-0.7999999999999998,LATE_ENTRY_WORSE_PRICE
AAS,2024-02-20,2024-04-09,8.6,9.0,4.65,signal,2024-03-27,2024-04-04,9.6,9.1,-5.71,-36.0,5.0,-10.416666666666668,10.36,EARLY_ENTRY
AAS,2024-06-13,2024-07-12,8.8,8.2,-6.82,signal,2024-05-13,2024-06-18,8.5,8.4,-1.68,31.0,24.0,3.5294117647058907,-5.140000000000001,LATE_ENTRY_WORSE_PRICE+LATE_EXIT_WORSE
AAS,2024-06-13,2024-07-12,8.8,8.2,-6.82,signal,2024-07-11,2024-07-19,8.3,8.0,-4.11,-28.0,-7.0,6.024096385542168,-2.71,EARLY_ENTRY+EARLY_EXIT_WORSE
AAS,2024-08-16,2024-09-12,7.4,7.1,-4.05,fast_exit_loss,2024-08-16,2024-09-11,7.4,7.0,-5.91,0.0,1.0,0.0,1.8600000000000003,OK
AAS,2024-10-01,2024-10-29,7.7,6.9,-10.39,signal,2024-09-17,2024-10-10,7.4,7.3,-1.85,14.0,19.0,4.054054054054052,-8.540000000000001,LATE_ENTRY_WORSE_PRICE+LATE_EXIT_WORSE
AAS,2025-02-18,2025-03-21,9.1,8.6,-5.49,signal,2025-02-17,2025-03-05,9.1,8.8,-3.8,1.0,16.0,0.0,-1.6900000000000004,OK
AAS,2025-06-03,2025-09-12,9.3,13.2,41.94,signal,2025-05-05,2025-06-09,7.5,8.7,15.5,29.0,95.0,24.00000000000001,26.439999999999998,LATE_ENTRY_WORSE_PRICE
AAS,2025-06-03,2025-09-12,9.3,13.2,41.94,signal,2025-07-09,2025-09-08,9.2,15.9,72.33,-36.0,4.0,1.086956521739146,-30.39,EARLY_ENTRY+LATE_EXIT_WORSE
AAS,2025-12-23,2025-12-31,9.2,10.4,13.04,end,2025-11-26,2026-01-16,8.9,9.6,7.37,27.0,-16.0,3.370786516853921,5.669999999999999,LATE_ENTRY_WORSE_PRICE
AAS,,,,,,MISSED,2020-11-30,2020-12-11,3.68,3.17,-14.36,,,,14.36,MISSED_WAVE
AAS,,,,,,MISSED,2020-12-21,2021-01-25,3.51,5.26,49.36,,,,-49.36,MISSED_WAVE
AAS,,,,,,MISSED,2021-02-24,2021-03-24,4.58,4.92,6.92,,,,-6.92,MISSED_WAVE
AAS,,,,,,MISSED,2021-04-01,2021-04-20,5.6,5.43,-3.54,,,,3.54,MISSED_WAVE
AAS,,,,,,MISSED,2021-05-21,2021-07-06,5.03,7.97,57.95,,,,-57.95,MISSED_WAVE
AAS,,,,,,MISSED,2022-01-06,2022-01-11,17.25,16.23,-6.41,,,,6.41,MISSED_WAVE
AAS,,,,,,MISSED,2023-01-04,2023-02-07,6.05,6.11,0.49,,,,-0.49,MISSED_WAVE
AAS,,,,,,MISSED,2024-01-05,2024-01-12,8.7,8.4,-3.95,,,,3.95,MISSED_WAVE
AAS,,,,,,MISSED,2024-12-09,2025-01-15,6.5,8.1,24.12,,,,-24.12,MISSED_WAVE
AAS,,,,,,MISSED,2025-10-13,2025-10-21,11.6,9.7,-16.88,,,,16.88,MISSED_WAVE
AAS,,,,,,MISSED,2026-01-22,2026-02-06,11.2,10.0,-11.21,,,,11.21,MISSED_WAVE
