experiment,feature,importance
baseline,stoch_d,1884.5
baseline,cci_20,1069.3
baseline,return_1d,944.3
baseline,log_return_1d,941.5
baseline,bb_pctb,794.0
baseline,rsi_14,738.5
baseline,price_to_sma20,737.2
baseline,aroon_down,700.3
baseline,macd_histogram,673.3
baseline,rsi_7,637.5
baseline,aroon_up,636.7
baseline,plus_di,586.0
baseline,sma10_cross_sma20,562.8
baseline,williams_r,514.5
baseline,stoch_k,513.8
baseline,minus_di,495.0
baseline,atr_contraction,490.8
baseline,macd,460.7
baseline,close_pos_ma5,450.3
baseline,adx_14,445.5
baseline,traded_value_ratio_5d,427.0
baseline,range_position_20d,422.2
baseline,rsi_slope_5d,406.2
baseline,momentum_10,403.0
baseline,close_to_low,396.8
baseline,cmf_20,389.3
baseline,return_5d,385.7
baseline,bb_lower,380.2
baseline,vol_surge_ratio,378.3
baseline,bb_width_percentile,375.0
baseline,vwap_ratio,355.0
baseline,high_low_range,352.3
baseline,keltner_upper,347.5
baseline,mfi_14,341.0
baseline,close_to_high,339.5
baseline,return_10d,338.2
baseline,bb_upper,330.7
baseline,price_rsi_divergence,317.3
baseline,obv,316.3
baseline,keltner_lower,313.0
baseline,volatility_10d,304.2
baseline,price_to_sma50,301.0
baseline,roc_10,297.0
baseline,obv_slope_10,291.7
baseline,volatility_20d,283.2
baseline,atr_14,277.0
baseline,return_20d,272.2
baseline,obv_price_divergence,260.5
baseline,pv_divergence,257.3
baseline,dist_to_resistance,250.0
baseline,volume_ratio_5d,247.3
baseline,volume_ratio_20d,244.8
baseline,higher_lows_count,242.8
baseline,roc_20,240.0
baseline,macd_signal,229.2
baseline,dist_to_support,226.3
baseline,close_position_in_range,198.8
baseline,bb_width,196.5
baseline,atr_ratio,188.7
baseline,sma_50,138.5
baseline,sma_5,105.2
baseline,sma_20,75.3
baseline,sma_10,73.5
baseline,ema_20,64.5
baseline,ema_10,57.2
baseline,consolidation_score,39.7
baseline,breakout_setup_score,39.5
A,stoch_d,1918.5
A,cci_20,1330.0
A,dist_to_last_swing_high,1133.3
A,dist_to_last_swing_low,1047.7
A,return_1d,758.2
A,log_return_1d,753.3
A,bb_pctb,724.5
A,aroon_up,661.0
A,price_to_sma20,654.8
A,pivot_high_3,616.3
A,rsi_7,614.7
A,aroon_down,610.7
A,pivot_low_3,602.5
A,rsi_14,585.7
A,close_to_low,520.0
A,sma10_cross_sma20,495.3
A,plus_di,488.8
A,stoch_k,467.5
A,minus_di,445.0
A,macd_histogram,443.3
A,williams_r,438.2
A,close_pos_ma5,405.0
A,atr_contraction,399.3
A,traded_value_ratio_5d,382.5
A,rsi_slope_5d,357.7
A,return_5d,355.7
A,bb_width_percentile,338.7
A,adx_14,331.2
A,bb_lower,330.2
A,vol_surge_ratio,323.5
A,macd,323.2
A,keltner_lower,317.7
A,bb_upper,316.0
A,keltner_upper,313.2
A,cmf_20,306.7
A,higher_lows_count,282.7
A,obv,280.7
A,momentum_10,279.8
A,close_to_high,270.7
A,return_10d,267.8
A,vwap_ratio,260.2
A,range_position_20d,256.3
A,mfi_14,250.8
A,roc_10,236.2
A,volatility_20d,234.2
A,close_position_in_range,234.0
A,return_20d,228.0
A,roc_20,220.0
A,price_rsi_divergence,215.8
A,dist_to_resistance,215.7
A,high_low_range,215.3
A,price_to_sma50,214.7
A,volatility_10d,208.7
A,dist_to_support,204.8
A,volume_ratio_5d,203.0
A,pv_divergence,191.0
A,obv_slope_10,190.8
A,atr_14,184.8
A,volume_ratio_20d,176.5
A,macd_signal,162.5
A,obv_price_divergence,157.2
A,atr_ratio,156.8
A,bb_width,153.0
A,sma_50,82.7
A,pivot_high_5,72.7
A,pivot_low_5,71.7
A,sma_5,68.2
A,pivot_low_7,61.7
A,pivot_high_7,55.0
A,sma_20,48.2
A,ema_10,39.7
A,sma_10,39.5
A,consolidation_score,39.2
A,ema_20,36.5
A,breakout_setup_score,28.2
A,bos_up,25.0
A,hh_hl_regime_20,24.2
A,hh_hl_regime_40,13.7
A,choch,13.5
A,bos_down,12.8
B,stoch_d,1881.3
B,cci_20,1068.5
B,log_return_1d,929.7
B,return_1d,904.2
B,bb_pctb,780.3
B,price_to_sma20,740.3
B,rsi_14,717.2
B,aroon_down,681.3
B,rsi_7,629.0
B,macd_histogram,623.8
B,aroon_up,620.8
B,plus_di,576.8
B,sma10_cross_sma20,563.5
B,williams_r,515.5
B,stoch_k,499.8
B,atr_contraction,489.5
B,minus_di,483.0
B,close_pos_ma5,459.2
B,traded_value_ratio_5d,430.8
B,macd,428.7
B,adx_14,425.0
B,rsi_slope_5d,412.0
B,range_position_20d,403.3
B,close_to_low,399.3
B,momentum_10,391.0
B,return_5d,387.2
B,vol_surge_ratio,385.8
B,cmf_20,376.2
B,bb_lower,367.8
B,bb_width_percentile,359.2
B,vwap_ratio,339.3
B,bb_upper,337.7
B,return_10d,332.8
B,close_to_high,331.7
B,keltner_upper,327.7
B,mfi_14,327.0
B,keltner_lower,319.0
B,high_low_range,315.5
B,price_rsi_divergence,308.2
B,obv,304.5
B,roc_10,297.5
B,volatility_20d,289.8
B,volatility_10d,288.8
B,price_to_sma50,278.5
B,obv_slope_10,274.5
B,return_20d,263.8
B,atr_14,255.8
B,pv_divergence,246.2
B,obv_price_divergence,242.5
B,dist_to_resistance,242.3
B,roc_20,239.7
B,volume_ratio_20d,237.3
B,higher_lows_count,236.7
B,dist_to_support,235.8
B,volume_ratio_5d,226.0
B,macd_signal,223.7
B,close_position_in_range,201.5
B,gap_down_pct,196.5
B,bb_width,186.8
B,atr_ratio,184.2
B,gap_up_pct,165.7
B,sma_50,135.8
B,sma_5,104.8
B,reversal_3bar,102.5
B,sma_20,79.0
B,sma_10,68.2
B,ema_20,62.3
B,ema_10,53.5
B,gap_filled,46.3
B,breakout_setup_score,39.0
B,consolidation_score,38.0
B,climax_volume_up,31.5
B,climax_volume_down,26.8
B,spring,6.2
B,upthrust,5.7
C,stoch_d,1912.5
C,cci_20,1042.8
C,return_1d,925.2
C,log_return_1d,888.2
C,bb_pctb,798.8
C,price_to_sma20,728.5
C,rsi_14,709.5
C,aroon_down,686.3
C,aroon_up,623.3
C,rsi_7,621.5
C,macd_histogram,615.3
C,sma10_cross_sma20,554.8
C,plus_di,552.0
C,williams_r,506.7
C,stoch_k,501.0
C,atr_contraction,480.3
C,minus_di,476.5
C,close_pos_ma5,445.5
C,macd,438.0
C,traded_value_ratio_5d,424.2
C,rsi_slope_5d,417.5
C,range_position_20d,415.3
C,adx_14,405.7
C,momentum_10,383.0
C,overnight_gap_pct,381.2
C,close_to_low,380.5
C,vol_surge_ratio,375.8
C,return_5d,357.0
C,bb_lower,348.7
