model,feature_set,window,train_size,test_size,time_sec,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,cohen_kappa,mcc,hit_rate_buy,avg_return_when_buy,avg_return_when_avoid,buy_signal_ratio,n_buy_signals,n_total,error
random_forest,minimal,train_2018-2021_test_2022,465.0,498.0,0.27,0.751004016064257,0.7561580978409833,0.7525773682967162,0.751004016064257,0.7460990858545155,0.7419469308971994,0.6010311476363073,0.60678275400103,0.6823529411764706,0.013014246299086681,-0.013583643129776795,0.1706827309236948,85.0,498.0,
random_forest,minimal,train_2021-2024_test_2025,2089.0,747.0,0.3,0.7255689424364123,0.7397217323143249,0.7247014484751297,0.7255689424364123,0.7233894536147024,0.7341831399802414,0.5819615743698099,0.583596524345551,0.783068783068783,0.012110693065679438,-0.009491354756387066,0.25301204819277107,189.0,747.0,
random_forest,minimal,train_2020-2023_test_2024,1461.0,694.0,0.31,0.729106628242075,0.7069020008852194,0.7274811766002679,0.729106628242075,0.7253573350852688,0.7190662324865219,0.5483788339788921,0.5512115965323615,0.7831325301204819,0.012845820346795236,-0.009509317606587568,0.11959654178674352,83.0,694.0,
lightgbm,minimal,train_2021-2024_test_2025,2089.0,747.0,0.42,0.6974564926372155,0.6990789731530472,0.7056629747468484,0.6974564926372155,0.698640377985945,0.7070233452655373,0.5310265513275664,0.5337492559856398,0.7966101694915254,0.01228814131727444,-0.008934498881288864,0.23694779116465864,177.0,747.0,
logistic_regression,minimal,train_2021-2024_test_2025,2089.0,747.0,0.03,0.6921017402945113,0.7099745247893395,0.690793538526576,0.6921017402945113,0.6891719890744936,0.7000156361175823,0.5332061815336463,0.5351502846405426,0.7211538461538461,0.011278886950189174,-0.007915259168952167,0.2784471218206158,208.0,747.0,
logistic_regression,minimal,train_2020-2023_test_2024,1461.0,694.0,0.03,0.6829971181556196,0.6785337514582347,0.682333688496578,0.6829971181556196,0.6772379448922556,0.6881925090968176,0.4708330878351916,0.47633149544629866,0.8023255813953488,0.015084149309494197,-0.008043597452137924,0.1239193083573487,86.0,694.0,
random_forest,minimal,train_2019-2022_test_2023,963.0,498.0,0.28,0.6807228915662651,0.6744999536801263,0.6921062549317504,0.6807228915662651,0.6796690016865574,0.681008250803567,0.4934167594334191,0.4982709823925405,0.7818181818181819,0.013641951881688732,-0.010537268371564153,0.22088353413654618,110.0,498.0,
lightgbm,minimal,train_2019-2022_test_2023,963.0,498.0,0.36,0.6646586345381527,0.644302908773703,0.6819661478657962,0.6646586345381527,0.6633787500804533,0.6580250530382242,0.4614996114996115,0.4694122121247691,0.8018867924528302,0.012436447048230801,-0.010085375213490226,0.21285140562248997,106.0,498.0,
logistic_regression,minimal,train_2019-2022_test_2023,963.0,498.0,0.02,0.6465863453815262,0.6660511923650471,0.6655880913705289,0.6465863453815262,0.6447763606563164,0.6506164468967237,0.456840617970217,0.463676710253591,0.7777777777777778,0.014202287426169694,-0.006438135835005927,0.21686746987951808,108.0,498.0,
lightgbm,minimal,train_2020-2023_test_2024,1461.0,694.0,0.44,0.6613832853025937,0.6296188342712662,0.662776026429757,0.6613832853025937,0.6601565800589949,0.645279759634869,0.4353093524183468,0.43604999682601814,0.7066666666666667,0.007970374749999261,-0.009637797207474888,0.10806916426512968,75.0,694.0,
lightgbm,minimal,train_2018-2021_test_2022,465.0,498.0,0.26,0.6204819277108434,0.6307877285661044,0.6287737155518626,0.6204819277108434,0.6217174767672272,0.6326154670871579,0.3837844207879956,0.3862292435961333,0.6710526315789473,0.008121660242315915,-0.010367456316677771,0.15261044176706828,76.0,498.0,
logistic_regression,minimal,train_2018-2021_test_2022,465.0,498.0,0.01,0.6204819277108434,0.6299435646551469,0.6155425899401802,0.6204819277108434,0.603187659384365,0.6022027964918304,0.3964100886896631,0.40846284828677215,0.5384615384615384,0.01461040895459276,-0.009108968797189036,0.1827309236947791,91.0,498.0,
random_forest,minimal,train_2017-2020_test_2021,66.0,399.0,0.27,0.46365914786967416,0.5746486755378685,0.5060588007068294,0.46365914786967416,0.4509375862297813,0.4503572273170117,0.2191709418122959,0.24011233900437493,0.7172413793103448,0.021176473374166196,-0.008034207035098235,0.3634085213032581,145.0,399.0,
lightgbm,minimal,train_2017-2020_test_2021,66.0,399.0,0.08,0.3684210526315789,0.48389071978333265,0.5247621524292199,0.3684210526315789,0.38031120913708777,0.36431551058312445,0.14449804732368476,0.17975749188423568,0.7731958762886598,0.019957506866687038,-0.008661712196037546,0.24310776942355888,97.0,399.0,
logistic_regression,minimal,train_2017-2020_test_2021,66.0,399.0,0.01,0.21804511278195488,0.4016913319238901,0.8113193889361837,0.21804511278195488,0.18293284780432886,0.1979144048911491,0.06745672057710894,0.16522726844643884,0.8205128205128205,0.04270512184492355,-0.00042734216614710203,0.09774436090225563,39.0,399.0,
