model,feature_set,window,train_size,test_size,time_sec,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,cohen_kappa,mcc,hit_rate_buy,avg_return_when_buy,avg_return_when_avoid,buy_signal_ratio,n_buy_signals,n_total
random_forest,technical,train_2016-2019_test_2020,1256,546,0.47,0.7985347985347986,0.7993368022856778,0.8008517420160056,0.7985347985347986,0.799290803457065,0.8007966859745159,0.6973178918085332,0.6976384206665724,0.8757763975155279,0.0161413780134574,-0.009486950716321715,0.2948717948717949,161,546
xgboost,technical,train_2018-2021_test_2022,2189,946,1.05,0.8097251585623678,0.7985537669040851,0.8089062493044682,0.8097251585623678,0.8087777590076778,0.8004610157661016,0.6867030965391621,0.6873329814760233,0.7979539641943734,0.0033099460134091356,0.0,0.41331923890063427,391,946
random_forest,technical,train_2018-2021_test_2022,2189,946,0.3,0.7949260042283298,0.7961539858793999,0.7964737772861049,0.7949260042283298,0.7920200340838822,0.7908973018918446,0.6638329752294704,0.6681126034499971,0.7744360902255639,0.008127860235228624,-0.013325070819452242,0.14059196617336153,133,946
lightgbm,technical,train_2018-2021_test_2022,2189,946,0.51,0.7938689217758985,0.7845854032995142,0.7929791630251425,0.7938689217758985,0.7926089220045777,0.7848406725733317,0.6609624351450747,0.6619214852180172,0.7637795275590551,0.006838388353575599,-0.01618865208090515,0.13424947145877378,127,946
lightgbm,technical,train_2016-2019_test_2020,1256,546,0.47,0.7710622710622711,0.7707742538471497,0.7827669780365168,0.7710622710622711,0.7742955315432036,0.7754878280217469,0.6556717050430851,0.6580153501686156,0.87248322147651,0.016653573588660556,-0.011086290707412547,0.27289377289377287,149,546
xgboost,minimal,train_2016-2019_test_2020,1310,570,0.69,0.7666666666666667,0.7671639165231016,0.7785962446395286,0.7666666666666667,0.7699765580966025,0.7728939463437653,0.6482999540716204,0.6508198477491606,0.6497890295358649,0.0014606014627596194,0.0,0.41578947368421054,237,570
random_forest,minimal,train_2016-2019_test_2020,1310,570,0.3,0.7701754385964912,0.7757645465499556,0.7660968192291333,0.7701754385964912,0.7663377786460093,0.7703302160277037,0.6555494049266537,0.6571621519142732,0.8021390374331551,0.01643378371880801,-0.009772740136717714,0.3280701754385965,187,570
xgboost,technical,train_2016-2019_test_2020,1256,546,0.87,0.7655677655677655,0.7656200397617136,0.7759001214490641,0.7655677655677655,0.768559159196235,0.7700718498179263,0.647425613705845,0.6492439334860219,0.6415094339622641,0.002229998632253069,0.0,0.3882783882783883,212,546
lightgbm,minimal,train_2016-2019_test_2020,1310,570,1.85,0.7614035087719299,0.7631059195305006,0.7692259990569285,0.7614035087719299,0.7639582327781388,0.7672866559498047,0.6407418735923032,0.6420362049477539,0.8571428571428571,0.016135892771052252,-0.012926867101438444,0.29473684210526313,168,570
random_forest,technical,train_2017-2020_test_2021,1558,881,0.53,0.771850170261067,0.7710946635863211,0.7707453997804684,0.771850170261067,0.7708050541126892,0.7669828929993349,0.6354452738674121,0.6359548943371275,0.8105263157894737,0.011895795078007037,-0.004943649680841516,0.43132803632236094,380,881
xgboost,technical,train_2019-2022_test_2023,2822,986,1.13,0.7565922920892495,0.759244079840431,0.7583064360021404,0.7565922920892495,0.7569769568431876,0.7617860421609669,0.6225283454669586,0.6229729518388158,0.7168141592920354,-0.0003663294836420569,0.0,0.45841784989858014,452,986
logistic_regression,minimal,train_2016-2019_test_2020,1310,570,0.02,0.7578947368421053,0.7611640559389491,0.7585602390381799,0.7578947368421053,0.7581182636520676,0.7616825435931127,0.6361567495559503,0.6362392341327447,0.8208092485549133,0.016429249143389456,-0.010586659479773806,0.30350877192982456,173,570
xgboost,technical,train_2017-2020_test_2021,1558,881,0.91,0.7673098751418842,0.7574348652212946,0.7690324258477668,0.7673098751418842,0.7679420360859868,0.759556265237646,0.6264470638848844,0.6266933001367052,0.7157622739018088,-0.004799243918522122,0.0,0.4392735527809308,387,881
random_forest,technical,train_2020-2023_test_2024,3359,1131,0.34,0.7586206896551724,0.7675805009917626,0.7584068345906069,0.7586206896551724,0.756050606462043,0.7580238285342725,0.6236974691597259,0.6260768792758488,0.7257383966244726,0.00928555550188682,-0.0079764670351086,0.20954907161803712,237,1131
random_forest,technical,train_2019-2022_test_2023,2822,986,0.35,0.7505070993914807,0.7625441358374174,0.7500195432502946,0.7505070993914807,0.7498205563018638,0.7573839767108949,0.6167061723712904,0.6170542189525684,0.7707006369426752,0.009511204382622476,-0.008678400678461548,0.3184584178498986,314,986
lightgbm,technical,train_2019-2022_test_2023,2822,986,0.61,0.7515212981744422,0.7543354917995363,0.753667918645863,0.7515212981744422,0.7518752939445262,0.7573409876041456,0.6143136772796797,0.6149878238281448,0.7903780068728522,0.010771540012723745,-0.008972707459847455,0.295131845841785,291,986
xgboost,minimal,train_2018-2021_test_2022,2283,996,1.49,0.7710843373493976,0.7564572108688101,0.7705943851823361,0.7710843373493976,0.768131108302405,0.7569564851287831,0.621733720447947,0.6248583507469043,0.7740259740259741,0.005273357684851946,0.0,0.3865461847389558,385,996
xgboost,minimal,train_2019-2022_test_2023,2965,996,2.01,0.7479919678714859,0.758055072881969,0.7487786964583982,0.7479919678714859,0.7475665724957875,0.7551859044717767,0.6112345677092486,0.6118084290592193,0.7142857142857143,0.0001724416533922778,0.0,0.4427710843373494,441,996
lightgbm,minimal,train_2018-2021_test_2022,2283,996,1.94,0.7670682730923695,0.755132853624807,0.7665566492899974,0.7670682730923695,0.7640831080200793,0.7549946212301429,0.6152929189336779,0.6184315677413182,0.734375,0.009778613833504849,-0.015445691226446965,0.1285140562248996,128,996
lightgbm,technical,train_2017-2020_test_2021,1558,881,0.54,0.7661748013620885,0.7525076703052233,0.7658096242517424,0.7661748013620885,0.765948312390008,0.7547899552460416,0.6243653561560194,0.6243916186116012,0.8283378746594006,0.012867062123223577,-0.005831941236972019,0.41657207718501704,367,881
xgboost,technical,train_2020-2023_test_2024,3359,1131,1.24,0.7524314765694076,0.7554842943367439,0.7516554803517723,0.7524314765694076,0.7518979850311603,0.7540813543384942,0.6112256923983501,0.6113754016533256,0.7213822894168467,0.002010813779973141,0.0,0.4093722369584439,463,1131
xgboost,technical,train_2021-2024_test_2025,3944,1186,1.21,0.7470489038785835,0.7475873639962987,0.7536837751018987,0.7470489038785835,0.7484039081764744,0.752847032208003,0.6107561701382811,0.6126448697206476,0.6771217712177122,-0.0012190089765335378,0.0,0.45699831365935917,542,1186
lightgbm,minimal,train_2019-2022_test_2023,2965,996,2.09,0.7459839357429718,0.7530209193072323,0.7479749025090423,0.7459839357429718,0.7460521901324937,0.752062703065486,0.6073821895717614,0.6080677641163388,0.7972508591065293,0.012062798586352784,-0.009539737027027168,0.2921686746987952,291,996
lightgbm,technical,train_2021-2024_test_2025,3944,1186,0.65,0.7445193929173693,0.7441363471145831,0.7535097551240841,0.7445193929173693,0.746058582526587,0.7511356172532132,0.606017649051602,0.6089059070605836,0.8028673835125448,0.011722196581715146,-0.008729840238757726,0.23524451939291738,279,1186
random_forest,minimal,train_2020-2023_test_2024,3461,1194,0.3,0.7504187604690117,0.7530801247703317,0.7490128133403335,0.7504187604690117,0.7494073149117385,0.7510863379131592,0.6096442484808127,0.6099583815089461,0.7478991596638656,0.012272713117669424,-0.009462461518270442,0.19932998324958123,238,1194
lightgbm,technical,train_2020-2023_test_2024,3359,1131,0.63,0.7480106100795756,0.7528362922286256,0.7470252289168144,0.7480106100795756,0.7471936190919942,0.7501279086015292,0.604765110299392,0.6050920196520408,0.7477477477477478,0.01041014487486697,-0.008257139931014287,0.1962864721485411,222,1131
random_forest,technical,train_2021-2024_test_2025,3944,1186,0.41,0.7436762225969646,0.7609270496154803,0.7429629739032457,0.7436762225969646,0.7409464186905738,0.7494688498236433,0.6123007705724344,0.6142938585850092,0.7270114942528736,0.009339029146154126,-0.008114017690407748,0.2934232715008432,348,1186
random_forest,minimal,train_2018-2021_test_2022,2283,996,0.33,0.7610441767068273,0.7578025984635882,0.7640504369832566,0.7610441767068273,0.7557179597594839,0.7493070603816151,0.6075065319544204,0.6150857140538918,0.7101449275362319,0.011178669853775136,-0.014364876890459816,0.13855421686746988,138,996
lightgbm,minimal,train_2017-2020_test_2021,1634,899,1.93,0.7563959955506118,0.748364279398762,0.7631699165982347,0.7563959955506118,0.7583351362352682,0.7474119792152566,0.6094235415947532,0.6108887234217573,0.8588235294117647,0.016916035110178956,-0.010759853442182448,0.3781979977753059,340,899
