entry_date,exit_date,holding_days,pnl_pct,entry_price,exit_price,exit_reason,symbol
2020-02-14,2020-02-24,6,-9.56,7.62,6.93,rule_sell,ACB
2020-04-13,2020-06-15,43,15.96,5.77,6.72,rule_sell,ACB
2020-07-14,2020-07-24,8,-3.82,6.93,6.7,rule_sell,ACB
2020-08-05,2020-10-28,59,28.36,6.93,8.93,rule_sell,ACB
2020-11-12,2020-12-24,25,2.93,9.9,10.24,rule_sell,ACB
2021-01-06,2021-01-19,9,-7.18,11.22,10.47,rule_sell,ACB
2021-02-09,2021-03-25,27,11.73,10.71,12.02,rule_sell,ACB
2021-04-06,2021-04-16,8,-5.25,13.04,12.42,rule_sell,ACB
2021-05-05,2021-07-09,47,24.2,13.24,16.51,rule_sell,ACB
2021-07-30,2021-08-20,15,-7.52,16.95,15.76,rule_sell,ACB
2021-09-20,2021-10-25,25,-3.09,15.05,14.66,rule_sell,ACB
2021-10-29,2021-11-18,14,-2.05,15.48,15.24,rule_sell,ACB
2021-11-22,2021-11-30,6,-3.0,16.02,15.62,rule_sell,ACB
2021-12-28,2022-01-11,9,-3.16,15.78,15.36,rule_sell,ACB
2022-01-24,2022-02-16,12,-0.93,16.11,16.04,rule_sell,ACB
2022-03-31,2022-04-19,12,-4.76,15.5,14.84,rule_sell,ACB
2022-05-27,2022-06-15,13,-7.68,14.91,13.84,rule_sell,ACB
2022-06-28,2022-08-22,39,0.13,14.36,14.45,rule_sell,ACB
2022-10-18,2022-11-10,17,-7.11,12.55,11.72,rule_sell,ACB
2022-11-18,2022-12-26,26,4.02,12.4,12.96,rule_sell,ACB
2023-01-10,2023-02-08,16,4.59,13.75,14.45,rule_sell,ACB
2023-02-23,2023-02-24,1,-3.66,14.89,14.42,rule_sell,ACB
2023-03-31,2023-04-18,12,-1.52,14.66,14.51,rule_sell,ACB
2023-05-08,2023-07-06,43,3.6,14.63,15.23,rule_sell,ACB
2023-07-25,2023-08-17,17,1.29,15.65,15.93,rule_sell,ACB
2023-09-05,2023-09-19,10,-2.5,15.97,15.65,rule_sell,ACB
2023-10-09,2023-10-19,8,-3.6,15.79,15.3,rule_sell,ACB
2023-11-08,2023-11-23,11,-3.12,16.0,15.58,rule_sell,ACB
2023-12-12,2024-03-07,56,21.73,15.79,19.3,rule_sell,ACB
2024-03-26,2024-04-04,7,-1.93,19.62,19.34,rule_sell,ACB
2024-05-03,2024-06-11,27,4.06,19.3,20.18,rule_sell,ACB
2024-07-17,2024-07-25,6,-2.36,20.47,20.09,rule_sell,ACB
2024-08-16,2024-09-16,19,0.15,20.05,20.18,rule_sell,ACB
2024-09-19,2024-10-21,22,3.55,20.72,21.56,rule_sell,ACB
2024-11-22,2024-12-18,18,0.27,20.85,21.01,rule_sell,ACB
2024-12-26,2025-01-06,6,-3.45,21.35,20.72,rule_sell,ACB
2025-01-23,2025-03-13,30,2.67,21.14,21.81,rule_sell,ACB
2025-05-08,2025-06-05,20,3.56,20.18,21.0,rule_sell,ACB
2025-06-20,2025-09-08,54,23.28,21.45,26.55,rule_sell,ACB
2025-10-06,2025-10-17,9,-4.42,26.8,25.75,rule_sell,ACB
2025-11-04,2025-11-07,3,-4.73,26.0,24.9,rule_sell,ACB
2025-12-04,2025-12-11,5,-4.32,24.9,23.95,rule_sell,ACB
2025-12-22,2026-01-28,25,-2.15,24.3,23.9,rule_sell,ACB
2026-02-23,2026-03-04,7,-4.03,24.05,23.2,rule_sell,ACB
2026-03-17,2026-03-23,4,-5.76,23.75,22.5,rule_sell,ACB
2020-02-18,2020-03-09,14,-10.68,20.23,18.17,rule_sell,FPT
2020-04-06,2020-06-11,46,12.96,17.16,19.47,rule_sell,FPT
2020-07-08,2020-07-24,12,-4.26,20.19,19.43,rule_sell,FPT
2020-08-07,2020-09-30,37,7.88,19.94,21.61,rule_sell,FPT
2020-10-16,2020-10-28,8,-5.2,23.0,21.92,rule_sell,FPT
2020-11-12,2021-01-27,53,17.23,23.13,27.23,rule_sell,FPT
2021-02-04,2021-03-24,29,5.72,31.34,33.29,rule_sell,FPT
2021-04-09,2021-07-12,63,21.34,35.49,43.24,rule_sell,FPT
2021-07-26,2021-08-20,19,-0.42,47.06,47.1,rule_sell,FPT
2021-09-16,2021-09-23,5,-2.19,48.07,47.26,rule_sell,FPT
2021-10-08,2021-10-22,10,-3.23,50.2,48.83,rule_sell,FPT
2021-11-16,2021-11-18,2,-2.32,49.89,48.98,rule_sell,FPT
2021-11-25,2021-12-03,6,-5.01,50.76,48.47,rule_sell,FPT
2022-02-08,2022-03-14,24,0.83,45.99,46.6,rule_sell,FPT
2022-03-21,2022-04-25,24,8.0,48.37,52.48,rule_sell,FPT
2022-05-25,2022-06-13,13,-1.1,53.3,52.98,rule_sell,FPT
2022-07-27,2022-09-06,27,1.37,52.37,53.35,rule_sell,FPT
2022-10-20,2022-11-14,17,-9.51,48.38,44.02,rule_sell,FPT
2022-11-25,2022-12-26,21,5.62,44.77,47.51,rule_sell,FPT
2023-01-03,2023-02-03,18,-0.36,49.74,49.81,rule_sell,FPT
2023-03-30,2023-04-18,13,-0.11,49.18,49.37,rule_sell,FPT
2023-05-12,2023-09-25,94,37.38,50.05,69.01,rule_sell,FPT
2023-10-13,2023-10-17,2,-3.61,70.33,68.14,rule_sell,FPT
