symbol,entry_idx,exit_idx,entry_price,exit_price,holding_days,trade_return_pct,max_dd_in_trade_pct,max_profit_in_trade_pct,sub_waves,is_win,entry_wave_pos,entry_dist_from_peak_pct,entry_recent_5d_ret_pct,exit_wave_pos,after_exit_max_up_pct,after_exit_max_down_pct,after_exit_5d_return_pct,after_exit_10d_return_pct,missed_profit_pct,gave_back_pct
AAA,1201,1203,10.2,9.62,2,-5.69,-5.69,1.18,2,False,1.0,0.0,6.92,0.65,2.39,-7.28,0.0,-7.28,6.86,6.86
AAA,1240,1250,9.23,9.04,10,-2.06,-3.79,7.58,5,False,1.0,0.0,9.1,0.59,8.96,2.54,5.09,5.97,9.64,9.64
AAA,1255,1261,9.5,9.54,6,0.42,0.0,3.68,4,True,0.74,-4.33,5.09,0.63,5.77,0.42,5.77,2.1,3.26,3.26
AAA,1262,1264,9.74,9.58,2,-1.64,-1.64,0.0,1,False,0.82,-1.91,0.0,0.61,11.38,0.84,0.84,11.38,1.64,1.64
AAA,1266,1267,10.09,9.7,1,-3.87,-3.87,0.0,1,False,1.0,0.0,5.77,0.63,10.82,-0.41,0.82,10.0,3.87,3.87
AAA,1270,1271,9.81,9.74,1,-0.71,-0.71,0.0,1,False,0.73,-2.78,1.13,0.57,10.37,-3.18,7.49,0.41,0.71,0.71
AAA,1272,1278,9.78,10.01,6,2.35,0.0,9.92,4,True,0.62,-3.07,0.82,0.39,2.3,-5.79,-1.6,1.5,7.57,7.57
AAA,1330,1331,9.62,9.5,1,-1.25,-1.25,0.0,1,False,1.0,0.0,0.0,0.9,3.68,0.42,2.11,3.68,1.25,1.25
AAA,1332,1349,9.54,9.82,17,2.94,0.0,4.61,8,True,0.93,-0.83,0.74,0.67,2.44,-0.41,1.22,2.44,1.68,1.68
AAA,1351,1353,10.02,9.9,2,-1.2,-1.2,0.0,1,False,1.0,0.0,1.62,0.63,2.42,-1.21,-0.81,0.0,1.2,1.2
AAA,1354,1355,9.94,9.78,1,-1.61,-1.61,0.0,1,False,0.75,-0.8,1.22,0.25,3.68,0.41,3.68,0.41,1.61,1.61
AAA,1359,1361,10.06,9.98,2,-0.8,-0.8,0.8,2,False,1.0,0.0,1.21,0.6,1.2,-1.6,-0.8,-0.5,1.59,1.59
AAA,1369,1371,10.1,9.93,2,-1.68,-1.68,0.0,1,False,0.89,-0.39,2.85,0.42,0.0,-7.75,-7.75,-4.33,1.68,1.68
AAA,1392,1434,10.44,12.22,42,17.05,-2.11,28.45,25,True,1.0,0.0,8.86,0.39,2.05,-15.3,0.0,-13.18,11.4,11.4
AAA,1458,1475,12.6,13.32,17,5.71,-3.73,14.44,7,True,1.0,0.0,3.11,0.57,6.98,1.28,5.71,6.98,8.73,8.73
AAA,1479,1494,13.96,13.83,15,-0.93,-0.93,8.81,6,False,0.8,-3.19,0.65,0.27,2.75,-5.86,0.94,-3.69,9.74,9.74
AAA,1529,1540,13.7,15.82,11,15.47,0.0,26.93,6,True,0.89,-0.94,0.96,0.65,-0.51,-17.38,-13.65,-15.55,11.46,11.46
AAA,1567,1575,14.72,14.76,8,0.27,-2.04,5.16,5,True,1.0,0.0,6.74,0.7,8.33,-3.46,2.57,4.07,4.89,4.89
AAA,1580,1589,15.14,15.41,9,1.78,-0.79,5.61,5,True,0.81,-2.2,2.57,0.67,3.44,-3.11,0.97,-3.11,3.83,3.83
AAA,1593,1594,15.89,15.56,1,-2.08,-2.08,0.0,1,False,0.94,-0.63,1.53,0.75,2.44,-4.05,-4.05,-3.08,2.08,2.08
AAA,1596,1598,15.84,15.65,2,-1.2,-1.2,0.63,2,False,0.91,-0.94,2.46,0.77,1.53,-4.6,-4.6,-0.58,1.83,1.83
AAA,1607,1608,15.89,15.56,1,-2.08,-2.08,0.0,1,False,0.95,-0.31,5.37,0.62,2.12,-1.86,0.9,-0.32,2.08,2.08
AAA,1609,1613,15.56,15.7,4,0.9,0.0,2.12,2,True,0.62,-2.38,3.18,0.76,5.22,-2.74,-1.21,5.22,1.22,1.22
AAA,1621,1626,16.42,16.04,5,-2.31,-2.31,2.62,3,False,1.0,0.0,6.9,0.49,10.16,-0.62,8.67,7.17,4.93,4.93
