entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_efficiency,left_on_table_pct,future_upside_pct,exit_reason,position_size,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_sma50_dist,entry_atr_pct,entry_date,entry_symbol,model,window
31,34,3,37.48,37.72,99.4,0.24,0.72,signal,0.7,34,0.838174273858921,0.03779069767441866,41.674607553036786,1.1320495289468968,0.0,2.0,0.04609306349830586,0.95,4,0.09177466278762228,0.029346622369878176,31,AAA,random_forest,train_2016-2019_test_2020
40,41,1,-0.25,0.0,0.0,0.25,-6.89,signal,1.0,41,0.38815789473684165,0.09509202453987746,-2.831202320833789,0.772402841163018,2.0,3.0,0.09829917268769164,0.1,3,0.027863935812975686,0.03162430616418346,40,AAA,random_forest,train_2016-2019_test_2020
70,73,3,39.36,45.97,85.6,6.61,7.12,signal,0.7,73,0.8798283261802571,0.030467899891186197,19.209608158883483,1.3065232042492996,2.0,3.0,-0.02944668306048588,0.7333333333333333,4,0.0371992235113538,0.045002331727032496,70,AAA,random_forest,train_2016-2019_test_2020
75,80,5,33.65,42.12,79.9,8.47,7.45,signal,0.7,80,0.9721254355400697,0.00805639476334341,2.710681696188942,1.5003585965689823,3.0,2.0,-0.01432505733548356,0.8833333333333333,3,0.12147632815323452,0.04351891814127465,75,AAA,random_forest,train_2016-2019_test_2020
86,91,5,-2.3,0.0,0.0,2.3,10.37,signal,1.0,91,0.7711442786069657,0.04722792607802865,2.5187212193435613,0.8675460898717016,1.0,2.0,-0.05791212531620532,0.11666666666666667,3,0.10651640461692262,0.036740979759460286,86,AAA,random_forest,train_2016-2019_test_2020
92,94,2,-1.89,0.0,0.0,1.89,10.82,signal,1.0,94,0.6953642384105966,0.04722792607802865,-3.191366072722005,0.8696128313642763,2.0,3.0,-0.0426415962158696,0.016666666666666666,3,0.10581289736603093,0.02940745086535642,92,AAA,random_forest,train_2016-2019_test_2020
96,97,1,-0.25,0.41,0.0,0.66,10.37,signal,1.0,97,0.583333333333333,0.051546391752577324,4.400919097209332,1.1613488134419798,1.0,1.0,0.019063872007870377,0.05,4,0.0858857245208668,0.03166421207658322,96,AAA,random_forest,train_2016-2019_test_2020
100,101,1,-0.25,0.41,0.0,0.66,9.92,signal,1.0,101,0.525773195876289,0.04722792607802865,-20.49999999999997,0.9004252874494729,1.0,2.0,0.02946162245474633,0.016666666666666666,3,0.07781515580736552,0.026694045174537995,100,AAA,random_forest,train_2016-2019_test_2020
102,108,6,-4.36,2.97,-146.8,7.33,3.54,signal,1.0,108,1.0,0.0,10.003453436168982,1.127894080511676,4.0,3.0,0.03289791302736006,0.1,3,0.1442600670773143,0.026683087027914644,102,AAA,random_forest,train_2016-2019_test_2020
162,183,21,0.26,1.73,14.9,1.47,2.01,signal,1.0,183,1.0,0.0,0.6105339894296264,1.4327980571722012,3.0,2.0,0.07920310197894384,0.6166666666666667,3,0.04179887464568252,0.028716461203770804,162,AAA,random_forest,train_2016-2019_test_2020
184,185,1,-0.25,0.41,0.0,0.66,3.26,signal,1.0,185,0.4117647058823522,0.04089979550102253,-10.258249641320013,1.1446304703988004,1.0,1.0,-0.015505712720442794,0.016666666666666666,3,0.031101739588824454,0.01913526146654982,184,AAA,random_forest,train_2016-2019_test_2020
190,192,2,-1.45,0.0,0.0,1.45,2.02,signal,1.0,192,0.5,0.03206412825651305,-0.2089864158829613,1.12176016933233,1.0,2.0,0.03055210763513351,0.16666666666666666,4,0.04384570328842775,0.020040080160320644,190,AAA,random_forest,train_2016-2019_test_2020
199,201,2,-1.44,0.0,0.0,1.44,-0.5,signal,1.0,201,0.6093750000000003,0.02487562189054726,16.97924481120276,0.6821883451868778,0.0,2.0,-0.005940764821432859,0.3,4,0.02874339761700029,0.01883439943141437,199,AAA,random_forest,train_2016-2019_test_2020
222,253,31,57.89,60.18,96.2,2.29,12.2,signal,0.7,253,0.7529411764705882,0.04022988505747126,40.89769879243573,1.8891421522619398,2.0,3.0,-0.050079264598464485,0.9833333333333333,4,0.06752832426684109,0.021688560481663954,222,AAA,random_forest,train_2016-2019_test_2020
282,291,9,49.94,56.16,88.9,6.22,7.08,signal,0.7,291,0.9219858156028367,0.025581395348837285,27.39666266768458,1.1892510242284502,2.0,3.0,0.4691111357160921,0.95,4,-0.33831902255870494,0.05498338870431895,282,AAS,random_forest,train_2016-2019_test_2020
296,301,5,39.3,42.93,91.5,3.63,0.0,signal,0.7,301,0.8650793650793651,0.0230040595399188,19.54395604395605,1.328743451296433,1.0,2.0,0.07644804846707681,1.0,4,0.47705468500159903,0.07684129132031704,296,AAV,random_forest,train_2016-2019_test_2020
388,396,8,8.98,18.5,48.5,9.52,6.89,trailing_stop,1.0,396,0.6440677966101696,0.09251101321585901,10.134087575948051,1.4339947534636919,1.0,1.0,0.35407043283744855,0.7,4,0.09181857534510104,0.06041535556954059,388,AAV,random_forest,train_2016-2019_test_2020
402,407,5,-1.81,0.0,0.0,1.81,3.62,stop_loss,1.0,407,0.6622516556291391,0.09960937499999996,3.5519125683060224,0.9254282044643675,1.0,2.0,-0.07205813520707118,0.6333333333333333,4,0.165013197415127,0.06780133928571427,402,AAV,random_forest,train_2016-2019_test_2020
440,449,9,42.71,48.04,88.9,5.33,57.95,signal,0.7,449,1.0,0.0,24.8768472906404,1.572994212931676,4.0,3.0,0.17769051212850512,0.9,3,0.0519721778200198,0.06644177178058083,440,AAV,random_forest,train_2016-2019_test_2020
452,461,9,38.55,40.63,94.9,2.08,0.0,signal,1.0,461,0.8511904761904762,0.04646840148698885,0.24383247274812447,1.0713308120887868,1.0,3.0,-0.0646335171577888,0.48333333333333334,3,0.15411017676334304,0.05031864046733934,452,AAV,random_forest,train_2016-2019_test_2020
496,516,20,66.67,66.67,100.0,0.0,0.0,end,1.0,516,0.95360824742268,0.011904761904762005,5.58126084441875,1.4117352145965012,3.0,2.0,0.0402723158163768,0.6333333333333333,3,0.22456913308280405,0.04497354497354498,496,AAV,random_forest,train_2016-2019_test_2020
1,12,11,42.16,51.89,81.2,9.73,3.14,signal,0.7,12,0.86096256684492,0.021138211382113803,1.5926992609042827,1.0009689484352942,1.0,3.0,0.010876365839051848,0.7666666666666667,3,0.0,0.0,1,AAA,random_forest,train_2017-2020_test_2021
38,53,15,52.49,61.44,85.4,8.95,12.6,signal,0.7,53,0.7681159420289859,0.05276174773289355,1.1357729084292885,0.9569228867415991,2.0,3.0,0.002036702913603647,0.8166666666666667,3,0.0019485333050938895,0.04010128371216583,38,AAA,random_forest,train_2017-2020_test_2021
59,71,12,5.5,8.19,67.2,2.69,2.75,trailing_stop,1.0,71,0.7073170731707313,0.05128205128205133,-26.175913790592688,0.7977751028620892,1.0,2.0,0.06180107559591115,0.016666666666666666,3,0.11259033853176112,0.03367928367928369,59,AAA,random_forest,train_2017-2020_test_2021
107,115,8,6.62,6.89,96.1,0.27,-0.24,trailing_stop,1.0,115,1.0,0.0,14.989282358468415,1.5115034910109062,4.0,3.0,0.07137135355294116,0.4666666666666667,3,0.06814533780825924,0.03542154566744729,107,AAA,random_forest,train_2017-2020_test_2021
145,152,7,7.08,7.35,96.3,0.27,8.33,trailing_stop,1.0,152,0.7683397683397685,0.041608876560332846,13.408422571159058,1.3803398535160882,2.0,3.0,0.033126806992374205,0.43333333333333335,4,0.014507028380869355,0.031206657420249657,145,AAA,random_forest,train_2017-2020_test_2021
158,162,4,6.19,6.46,95.9,0.27,3.78,trailing_stop,1.0,162,0.6896551724137929,0.04194407456724373,-1.8788083953960921,0.8306458451295602,2.0,2.0,-0.02326448610016646,0.15,3,0.033552613470589764,0.03913829180140765,158,AAA,random_forest,train_2017-2020_test_2021
163,168,5,-0.9,2.49,-36.3,3.39,3.1,signal,1.0,168,0.5616438356164383,0.06286836935166999,-0.7874642061724444,1.1508393296143877,1.0,2.0,0.008843876135137999,0.11666666666666667,4,0.05663040770572107,0.03802975021049678,163,AAA,random_forest,train_2017-2020_test_2021
169,173,4,0.07,3.45,2.2,3.38,0.63,signal,1.0,173,0.602739726027397,0.05664062500000007,5.748384406920984,0.5849584840273112,1.0,1.0,0.0014526435102409155,0.18333333333333332,3,0.06893816025721329,0.033156622023809534,169,AAA,random_forest,train_2017-2020_test_2021
174,176,2,-2.06,0.0,0.0,2.06,6.43,signal,1.0,176,0.7661290322580645,0.036386449184441665,-6.695280150771055,1.1454281056648512,2.0,3.0,0.02162342939356389,0.03333333333333333,3,0.09472007032580634,0.032398279261516415,174,AAA,random_forest,train_2017-2020_test_2021
185,186,1,-0.25,0.0,0.0,0.25,8.29,signal,1.0,186,0.4754098360655743,0.06169665809768631,6.741573033707866,0.9293648522313167,2.0,3.0,0.03153575275779056,0.13333333333333333,4,0.03720886826914099,0.027543150936467108,185,AAA,random_forest,train_2017-2020_test_2021
188,192,4,-0.83,1.86,-44.4,2.68,14.29,signal,1.0,192,0.4972677595628416,0.05897435897435897,-7.695086705202328,0.9559887642024874,1.0,2.0,0.02426461093639879,0.16666666666666666,3,0.03221025328851592,0.023443223443223415,188,AAA,random_forest,train_2017-2020_test_2021
199,204,5,-1.42,3.82,-37.1,5.24,12.05,signal,1.0,204,0.7988165680473372,0.020948860135551438,7.03953524641296,1.349425933533698,2.0,3.0,-0.03539195627241641,0.4,4,0.0556921515825625,0.023105360443622915,199,AAA,random_forest,train_2017-2020_test_2021
206,216,10,44.27,50.73,87.3,6.46,14.36,signal,0.7,216,0.7004830917874394,0.037417018708509414,-6.736353077816517,1.0915501975896076,0.0,2.0,-0.000988599488463554,0.7166666666666667,3,0.060846628594842384,0.031726873006293656,206,AAA,random_forest,train_2017-2020_test_2021
233,259,26,68.03,93.67,72.6,25.64,-12.93,signal,0.7,259,0.7912772585669777,0.037513997760358436,14.183493614521183,1.5275428881484794,2.0,3.0,0.0016312562554859356,0.9166666666666666,4,0.09331766203873748,0.03563429851223802,233,AAA,random_forest,train_2017-2020_test_2021
283,297,14,-3.58,2.16,-165.7,5.74,27.03,signal,1.0,297,0.9303797468354429,0.021611001964636604,16.29466110702316,1.2567286872854573,3.0,1.0,3.050117807264591,0.26666666666666666,3,-0.3483215117916678,0.05430816727476848,283,AAS,random_forest,train_2017-2020_test_2021
303,313,10,3.89,10.29,37.8,6.4,1.08,trailing_stop,1.0,313,0.8095238095238094,0.05054151624548741,31.729686242960582,1.1442150374147915,3.0,4.0,-0.4888530122765226,0.08333333333333333,4,0.15085795006024355,0.048349664775657546,303,AAS,random_forest,train_2017-2020_test_2021
341,346,5,15.79,24.2,65.2,8.41,44.98,trailing_stop,1.0,346,1.0,0.0,13.384295029864617,1.7975645171102792,3.0,2.0,1.0096637182380248,0.5,3,0.19628162145687314,0.053343949044585996,341,AAS,random_forest,train_2017-2020_test_2021
347,350,3,50.32,54.38,92.5,4.06,46.07,signal,0.7,350,0.3858695652173916,0.38047138047138024,-22.40117481343841,1.7231188867860683,1.0,2.0,0.3007804437305163,0.9666666666666667,4,0.08457493426818571,0.12061087061087061,347,AAS,random_forest,train_2017-2020_test_2021
352,368,16,48.7,70.05,69.5,21.35,-0.73,signal,0.7,368,0.831521739130435,0.08179419525065952,6.99035415671613,1.2092342679218504,3.0,3.0,0.41519502304332057,0.8666666666666667,4,0.3384186177914327,0.11307953260459856,352,AAS,random_forest,train_2017-2020_test_2021
