entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,symbol,model
53,62,9,2.23,73.0,signal,2020-04-08,0.21276595744680868,0.45905707196029766,8.460812723229324,0.6358562523353954,1.0,2.0,0.12527662706271794,1.0,4,2020-03-25,AAV,0.6,weak,False,False,True,-2.18,-29.42,-15.02,AAV,v16
86,96,10,8.01,75.01,signal,2020-05-28,0.404761904761905,0.12135922330097088,14.406779661016941,1.0078303890574098,1.0,1.0,0.12773846143262818,0.5166666666666667,3,2020-05-14,AAV,0.6,weak,False,False,True,2.23,-9.25,0.29,AAV,v16
106,119,13,-6.85,103.61,signal,2020-06-30,0.5812499999999999,0.1350806451612903,2.327586206896548,1.3295787051355306,3.0,3.0,0.3211652236859044,0.75,5,2020-06-11,AAV,0.5,strong,False,False,False,1.85,-7.81,8.55,AAV,v16
143,157,14,25.06,86.19,signal,2020-08-24,0.41258741258741277,0.20843672456575676,12.296511627907009,1.25753864849857,2.0,2.0,0.11138591534156747,0.9833333333333333,5,2020-08-03,AAV,0.6,weak,False,False,True,4.4,-15.87,-7.82,AAV,v16
225,227,2,1.37,,end,2020-12-31,0.886904761904762,0.06114239742558325,-10.999151954359718,1.0227559373631403,1.0,2.0,-0.05617126477551104,0.9166666666666666,2,2020-12-29,AAV,0.48999999999999994,strong,False,False,False,2.73,-0.72,27.44,AAV,v16
1,18,17,0.9,192.45,signal,2020-02-04,0.6923076923076917,0.012048192771084348,4.090909090909058,1.2024532371368604,5.0,3.0,0.015899799350756937,0.025,4,2020-01-03,ACB,0.35,weak,False,False,False,0.0,0.0,0.0,ACB,v16
29,42,13,-11.46,100.55,signal,2020-03-09,0.8525641025641023,0.03030303030303036,7.708904457305351,1.3993713968816932,2.0,3.0,-0.0345119817429594,1.0,4,2020-02-19,ACB,0.5,strong,False,False,False,2.71,-1.17,7.71,ACB,v16
83,109,26,10.68,114.88,peak_protect_ema,2020-06-17,0.8145161290322578,0.03721682847896447,4.718570947084594,1.1024304972024102,3.0,3.0,0.040238966014484095,0.08333333333333333,4,2020-05-08,ACB,0.5,moderate,False,False,False,4.39,0.0,5.02,ACB,v16
131,140,9,-8.94,99.31,signal,2020-07-30,0.9333333333333336,0.0069832402234636624,30.43251693590411,1.0933059857060345,2.0,2.0,0.01999812212984034,0.2,2,2020-07-17,ACB,0.5,strong,False,False,False,3.32,0.0,4.56,ACB,v16
153,205,52,22.33,128.42,signal,2020-10-30,0.9066666666666663,0.018944519621109684,27.594565646316006,1.2506171205484,3.0,3.0,0.03395918541830205,0.8333333333333334,3,2020-08-18,ACB,0.5,strong,False,False,False,0.82,-0.81,6.91,ACB,v16
209,239,30,11.67,58.5,signal,2020-12-28,0.6203703703703702,0.043897216274089955,-2.5403883207351328,0.7270507917989932,2.0,3.0,-0.00882025638019003,0.21666666666666667,3,2020-11-05,ACB,0.7,strong,False,False,False,4.12,-2.71,1.36,ACB,v16
15,24,9,-3.63,46.17,signal,2020-02-12,0.7372372372372372,0.058823529411764705,-16.058920825141243,0.9611246392056236,1.0,3.0,-0.05627839930875838,0.9833333333333333,3,2020-01-30,BID,0.7,strong,False,False,False,-2.4,-5.04,4.32,BID,v16
90,106,16,7.05,111.02,signal,2020-06-12,0.8923444976076557,0.02008032128514053,1.9308055215796003,1.2396715144002697,2.0,2.0,0.003949367214168165,0.2833333333333333,4,2020-05-21,BID,0.5,moderate,False,False,False,2.99,0.0,7.2,BID,v16
132,141,9,-10.16,42.92,signal,2020-07-31,0.7316017316017326,0.026921406860616476,21.202361782071968,0.9686657163803598,1.0,2.0,-0.017670787628065517,0.13333333333333333,4,2020-07-20,BID,0.7,moderate,False,False,False,-1.2,-1.92,1.17,BID,v16
194,204,10,-8.51,44.56,signal,2020-10-29,0.7571428571428573,0.028511530398322837,21.83974358974367,1.6707457744827976,3.0,3.0,-0.013245497009579221,0.25,4,2020-10-15,BID,0.7,moderate,False,False,False,4.61,-1.53,3.14,BID,v16
226,249,23,16.78,,end,2020-12-31,0.7123893805309727,0.027612574341546396,-0.463467829880031,1.5443466962235788,2.0,3.0,-0.029636100005730637,0.65,4,2020-11-30,BID,0.7,moderate,False,False,False,1.47,-2.12,3.37,BID,v16
13,22,9,-2.01,3.16,signal,2020-02-10,0.5999999999999998,0.05172413793103453,9.142346634901713,0.5319132689584957,1.0,2.0,0.054902273299138715,0.4666666666666667,4,2020-01-21,DGC,1.0,moderate,False,False,False,0.87,0.0,2.07,DGC,v16
77,103,26,37.78,138.32,peak_protect_dist,2020-06-11,0.9126984126984128,0.029372496662216255,-4.761904761904745,1.118908962879165,0.0,1.0,0.4957779197960639,0.95,2,2020-04-29,DGC,0.5,strong,False,False,False,4.76,-1.06,12.64,DGC,v16
123,130,7,-6.22,0.71,stop_loss,2020-07-28,0.8124999999999999,0.02933333333333334,-1.3985781675635849,1.6417971072716397,4.0,3.0,0.924590938725671,0.016666666666666666,3,2020-07-09,DGC,1.0,strong,False,False,False,1.53,-1.66,2.2,DGC,v16
