entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,symbol
15,24,9,-8.26,298.74,signal,2020-12-15,0.46575342465753405,0.11111111111111115,11.777319587628881,2.7969118866841063,2.0,2.0,0.050469074857611054,0.15833333333333333,5,2020-12-02,AAS,0.25,moderate,False,False,False,5.09,-4.62,2.58,high_beta,False,AAS
30,36,6,11.86,,end,2020-12-31,0.9219858156028367,0.025581395348837285,27.39666266768458,1.1892510242284502,2.0,3.0,0.4691111357160921,0.95,4,2020-12-23,AAS,0.3332,strong,False,False,False,31.1,0.0,25.57,high_beta,False,AAS
53,72,19,2.23,294.27,signal,2020-04-22,0.21276595744680868,0.45905707196029766,8.460812723229324,0.6358562523353954,1.0,2.0,0.12527662706271794,1.0,4,2020-03-25,AAV,0.262395,weak,False,False,True,-2.18,-29.42,-15.02,high_beta,False,AAV
86,120,34,12.14,229.75,signal,2020-07-01,0.404761904761905,0.12135922330097088,14.406779661016941,1.0078303890574098,1.0,1.0,0.12773846143262818,0.5166666666666667,3,2020-05-14,AAV,0.3332,weak,False,False,True,2.23,-9.25,0.29,high_beta,False,AAV
143,183,40,50.12,345.84,signal,2020-10-28,0.41258741258741277,0.20843672456575676,12.296511627907009,1.25753864849857,2.0,2.0,0.11138591534156747,0.9833333333333333,5,2020-08-03,AAV,0.262395,weak,False,False,True,4.4,-15.87,-7.82,high_beta,False,AAV
208,227,19,61.33,,end,2020-12-31,1.0,0.0,21.54640588584747,1.5877800545291358,4.0,3.0,0.07143547034556558,0.75,3,2020-12-04,AAV,0.3332,strong,False,False,False,20.71,0.0,24.82,high_beta,False,AAV
15,45,30,-6.31,65.36,signal,2020-03-12,0.5897435897435895,0.04698972099853162,-12.512343066723119,1.5294539097049327,1.0,2.0,-0.006369730364305916,0.9333333333333333,4,2020-01-30,ACB,0.6555,strong,False,False,False,-1.3,-3.68,1.37,bank,False,ACB
83,105,22,14.4,132.28,peak_protect_dist,2020-06-11,0.8145161290322578,0.03721682847896447,4.718570947084594,1.1024304972024102,3.0,3.0,0.040238966014484095,0.08333333333333333,4,2020-05-08,ACB,0.46,moderate,False,False,False,4.39,0.0,5.02,bank,False,ACB
106,115,9,-3.25,20.41,signal,2020-06-25,0.6054421768707484,0.08203677510608204,-15.431629834254096,1.143301024137949,0.0,0.0,-0.04246851508953574,0.6333333333333333,3,2020-06-12,ACB,0.8280000000000001,strong,False,False,False,-2.75,-4.33,3.35,bank,False,ACB
131,137,6,-12.15,116.73,signal_hard_cap,2020-07-27,0.9333333333333336,0.0069832402234636624,30.43251693590411,1.0933059857060345,2.0,2.0,0.01999812212984034,0.2,2,2020-07-17,ACB,0.46,strong,False,False,False,3.32,0.0,4.56,bank,False,ACB
151,204,53,22.88,219.29,signal,2020-10-29,0.8819444444444444,0.023287671232876703,34.19609807686958,1.6849145755053527,2.0,3.0,0.021858413795545484,0.8,4,2020-08-14,ACB,0.34500000000000003,moderate,False,False,False,6.73,-0.82,6.12,bank,False,ACB
208,240,32,8.57,130.38,signal,2020-12-29,0.8392857142857144,0.018808777429467054,4.2019643953345565,0.7077673437887996,3.0,4.0,0.016804675634845487,0.3333333333333333,2,2020-11-04,ACB,0.46,strong,False,False,False,7.17,-0.31,4.21,bank,False,ACB
60,83,23,28.08,308.63,peak_protect_dist,2020-05-08,0.15785054575986582,0.36766862170087977,12.141246132440507,0.9637081373330089,0.0,2.0,0.056386654733622116,0.95,4,2020-04-03,ACV,0.26775,weak,False,False,True,1.34,-26.65,-9.03,balanced,False,ACV
84,93,9,2.57,11.63,trailing_stop,2020-05-22,0.6359102244389025,0.08257918552036204,-4.940693327291271,1.1211193082510509,1.0,2.0,-0.05911441639330771,0.016666666666666666,4,2020-05-11,ACV,0.95,strong,False,False,False,1.03,-6.13,1.56,balanced,False,ACV
94,111,17,5.56,182.03,peak_protect_ema,2020-06-17,0.4735376044568238,0.05228215767634856,18.55596439169137,1.5110820146364634,2.0,2.0,-0.04544713667363556,0.05,5,2020-05-25,ACV,0.375,moderate,True,False,False,2.93,-3.88,1.34,balanced,False,ACV
