entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,symbol
20,43,23,-4.96,161.38,signal,2020-03-10,0.5672514619883038,0.07982740021574976,9.882842025699155,1.4534416556713563,2.0,3.0,0.06181020599466371,0.7666666666666667,5,2020-02-06,AAA,0.4,weak,False,False,True,-1.28,-5.89,-0.55,balanced,False,AAA
71,107,36,5.7,208.25,peak_protect_dist,2020-06-11,0.9549180327868855,0.011615628299894343,21.084645790238973,1.3888179101656852,4.0,3.0,0.0026859120475487552,0.7666666666666667,3,2020-04-20,AAA,0.34,strong,False,False,False,14.65,0.0,14.51,balanced,False,AAA
114,123,9,-6.22,151.31,signal,2020-07-03,0.4635761589403981,0.0799605133267521,15.22270344967054,0.5084422319323055,2.0,3.0,0.01727524425962145,0.31666666666666665,4,2020-06-22,AAA,0.4,strong,False,False,False,7.42,-5.77,1.06,balanced,False,AAA
133,139,6,-14.04,99.75,signal_hard_cap,2020-07-27,0.6402877697841728,0.05015045135406218,21.82554287817451,1.0714346643935904,1.0,2.0,-0.008137521047346198,0.23333333333333334,4,2020-07-17,AAA,0.5,moderate,False,True,False,2.78,-2.64,2.25,balanced,False,AAA
156,187,31,3.7,172.73,signal,2020-10-02,0.8125000000000002,0.028511087645195308,29.369565217391298,1.834543351419734,2.0,3.0,0.0031504785355063805,0.75,4,2020-08-19,AAA,0.375,moderate,False,False,False,1.72,-2.37,4.73,balanced,False,AAA
188,200,12,-1.29,6.07,trailing_stop,2020-10-21,0.7142857142857143,0.01590457256461234,0.5919003115265156,1.1181364743152271,2.0,2.0,0.01825170756549569,0.05,4,2020-10-05,AAA,0.95,strong,False,False,False,1.21,0.0,1.79,balanced,False,AAA
224,246,22,11.49,185.56,peak_protect_dist,2020-12-24,0.6529411764705881,0.057448880233690346,-1.398423595219981,2.1539067809788612,1.0,2.0,-0.045303466495965276,1.0,4,2020-11-24,AAA,0.375,moderate,False,False,False,5.77,-1.63,6.56,balanced,False,AAA
247,251,4,2.86,,end,2020-12-31,0.7355769230769236,0.046296296296296204,-1.713493395606804,1.3005930696183339,1.0,2.0,0.023430023150100204,0.7,4,2020-12-25,AAA,0.95,strong,False,False,False,4.85,-3.1,5.54,balanced,False,AAA
15,45,30,-6.31,65.36,signal,2020-03-12,0.5897435897435895,0.04698972099853162,-12.512343066723119,1.5294539097049327,1.0,2.0,-0.006369730364305916,0.9333333333333333,4,2020-01-30,ACB,0.6555,strong,False,False,False,-1.3,-3.68,1.37,bank,False,ACB
83,105,22,14.4,132.28,peak_protect_dist,2020-06-11,0.8145161290322578,0.03721682847896447,4.718570947084594,1.1024304972024102,3.0,3.0,0.040238966014484095,0.08333333333333333,4,2020-05-08,ACB,0.46,moderate,False,False,False,4.39,0.0,5.02,bank,False,ACB
106,115,9,-3.25,20.41,signal,2020-06-25,0.6054421768707484,0.08203677510608204,-15.431629834254096,1.143301024137949,0.0,0.0,-0.04246851508953574,0.6333333333333333,3,2020-06-12,ACB,0.8280000000000001,strong,False,False,False,-2.75,-4.33,3.35,bank,False,ACB
131,137,6,-12.15,116.73,signal_hard_cap,2020-07-27,0.9333333333333336,0.0069832402234636624,30.43251693590411,1.0933059857060345,2.0,2.0,0.01999812212984034,0.2,2,2020-07-17,ACB,0.46,strong,False,True,False,3.32,0.0,4.56,bank,False,ACB
151,204,53,22.88,219.29,signal,2020-10-29,0.8819444444444444,0.023287671232876703,34.19609807686958,1.6849145755053527,2.0,3.0,0.021858413795545484,0.8,4,2020-08-14,ACB,0.34500000000000003,moderate,False,False,False,6.73,-0.82,6.12,bank,False,ACB
208,240,32,8.57,130.38,signal,2020-12-29,0.8392857142857144,0.018808777429467054,4.2019643953345565,0.7077673437887996,3.0,4.0,0.016804675634845487,0.3333333333333333,2,2020-11-04,ACB,0.46,strong,False,False,False,7.17,-0.31,4.21,bank,False,ACB
72,81,9,-8.64,301.5,signal,2020-05-06,0.6497175141242937,0.081151832460733,5.937348227294784,1.5900760872783255,2.0,3.0,0.038865627943383815,0.8833333333333333,5,2020-04-21,ACL,0.25,moderate,False,False,False,3.8,-4.5,4.26,balanced,False,ACL
85,120,35,36.6,235.22,signal,2020-09-30,0.07500000000000055,0.16317530319735396,-5.174825174825138,0.559409103007719,0.0,1.0,-0.06506236667689738,0.36666666666666664,2,2020-06-18,ACL,0.31875,strong,False,False,False,26.68,0.0,20.14,balanced,False,ACL
180,186,6,4.65,,end,2020-12-31,0.8404255319148933,0.024469820554649323,24.80832076420308,1.812758990115421,3.0,4.0,0.4609033569497989,0.55,4,2020-12-23,ACL,0.375,moderate,False,False,False,9.37,0.0,8.03,balanced,False,ACL
54,71,17,0.0,290.49,peak_protect_dist,2020-08-17,1.0,0.0,-2.857142857142861,0.979088758299626,2.0,0.0,0.02292947785751741,0.6,0,2020-06-01,ACM,0.26775,strong,False,False,False,0.0,0.0,14.29,balanced,False,ACM
88,110,22,14.29,345.18,peak_protect_dist,2020-11-11,0.4999999999999997,0.142857142857143,-10.0,0.6898160340232433,1.0,0.0,-0.007338335138378041,0.08333333333333333,2,2020-09-11,ACM,0.25,moderate,False,False,False,-12.5,-12.5,-2.1,balanced,False,ACM
132,140,8,20.0,,end,2020-12-31,1.0,0.0,23.809523809523796,2.4042506098181553,3.0,2.0,0.09953039300529348,0.6166666666666667,3,2020-12-18,ACM,0.26775,strong,False,False,False,25.0,0.0,23.46,balanced,False,ACM
60,83,23,28.08,308.63,peak_protect_dist,2020-05-08,0.15785054575986582,0.36766862170087977,12.141246132440507,0.9637081373330089,0.0,2.0,0.056386654733622116,0.95,4,2020-04-03,ACV,0.26775,weak,False,False,True,1.34,-26.65,-9.03,balanced,False,ACV
84,93,9,2.57,11.63,trailing_stop,2020-05-22,0.6359102244389025,0.08257918552036204,-4.940693327291271,1.1211193082510509,1.0,2.0,-0.05911441639330771,0.016666666666666666,4,2020-05-11,ACV,0.95,strong,False,False,False,1.03,-6.13,1.56,balanced,False,ACV
94,111,17,5.56,182.03,signal,2020-06-17,0.4735376044568238,0.05228215767634856,18.55596439169137,1.5110820146364634,2.0,2.0,-0.04544713667363556,0.05,5,2020-05-25,ACV,0.375,moderate,True,False,False,2.93,-3.88,1.34,balanced,False,ACV
171,190,19,3.73,57.25,signal,2020-10-09,0.9146341463414631,0.011275167785234946,6.171082779645872,1.723957267072159,4.0,4.0,0.0662653926818462,0.6333333333333333,3,2020-09-11,ACV,0.675,strong,False,False,False,6.06,0.0,8.3,balanced,False,ACV
212,229,17,8.34,112.89,peak_protect_dist,2020-12-03,0.4337700145560405,0.09715284715284717,13.821103625041822,1.4080353112303756,2.0,2.0,0.03195828716992277,0.13333333333333333,5,2020-11-10,ACV,0.5,moderate,False,False,False,4.93,0.0,5.12,balanced,False,ACV
230,248,18,10.66,,end,2020-12-31,0.8555276381909541,0.02585431654676272,-9.316578111382839,0.8263054584940069,0.0,2.0,0.030548761129297542,0.5833333333333334,2,2020-12-04,ACV,0.5,strong,False,False,False,2.25,-1.75,3.55,balanced,False,ACV
20,41,21,1.86,158.02,signal,2020-09-11,0.23926380368098163,0.2890442890442891,14.523763210789113,0.3910415192262326,1.0,2.0,-0.006986932673997434,0.9833333333333333,4,2020-08-12,ADS,0.4,weak,False,False,True,2.63,-14.71,-4.35,balanced,False,ADS
53,86,33,17.4,,end,2020-12-23,0.9761904761904767,0.0022026431718061203,5.932203389830562,1.0498092887592552,4.0,3.0,0.0035467716731475054,0.11666666666666667,2,2020-09-29,ADS,0.5,moderate,False,False,False,0.89,-0.22,1.07,balanced,False,ADS
20,75,55,66.0,312.53,signal,2020-10-15,0.42857142857142866,0.24000000000000005,-18.707482993197267,0.8308136865202532,0.0,0.0,0.14328491329251253,0.5,2,2020-06-29,AFX,0.26775,strong,False,False,False,16.28,-7.41,9.77,balanced,False,AFX
87,119,32,42.35,229.74,peak_protect_dist,2020-12-17,0.4583333333333331,0.15294117647058833,22.43401759530785,0.9946034008756746,0.0,2.0,-0.7868720287804567,0.3,4,2020-11-02,AFX,0.34,moderate,False,False,True,6.25,-7.61,2.41,balanced,False,AFX
20,43,23,0.0,210.76,signal,2020-06-26,1.0,0.0,18.54179033168768,1.2057232652386072,3.0,2.0,-0.0833536886771229,0.5333333333333333,3,2020-05-25,AGM,0.34,strong,False,False,False,40.45,0.0,34.46,balanced,False,AGM
86,103,17,-1.47,156.6,signal,2020-09-21,0.8999999999999999,0.02941176470588238,3.7458379578246337,1.8204263679082486,3.0,3.0,-0.028034297049536513,0.6333333333333333,4,2020-08-26,AGM,0.4,strong,False,False,False,12.86,0.0,15.43,balanced,False,AGM
105,114,9,-3.97,10.77,signal,2020-10-06,0.6285714285714283,0.046931407942238296,7.7464788732394325,0.9834101820601797,2.0,1.0,-0.01847054432427009,0.03333333333333333,3,2020-09-23,AGM,0.9,strong,False,False,False,1.84,-4.15,2.12,balanced,False,AGM
171,176,5,1.59,,end,2020-12-31,0.4166666666666669,0.08366533864541824,-10.37493579866453,1.903394482160913,1.0,2.0,0.061734542580613186,0.8333333333333334,4,2020-12-24,AGM,0.7124999999999999,strong,False,False,False,-1.18,-5.64,1.07,balanced,False,AGM
30,42,12,-9.97,97.82,signal,2020-03-09,0.7297297297297293,0.033222591362126276,15.710382513661159,1.5272174832424887,2.0,2.0,-0.02633868370098013,0.48333333333333334,5,2020-02-20,AGR,0.5,moderate,False,True,False,5.61,-3.22,3.47,balanced,False,AGR
61,118,57,35.14,319.77,signal,2020-06-30,0.3617021276595748,0.27027027027027006,18.288934426229524,1.1911144673085394,1.0,3.0,0.08008378041583018,0.9333333333333333,5,2020-04-06,AGR,0.26775,weak,False,False,True,2.3,-18.98,-5.29,balanced,False,AGR
134,137,3,-15.61,164.05,signal_hard_cap,2020-07-27,0.5333333333333341,0.04458598726114639,16.54040404040405,1.1464744502247415,1.0,2.0,-0.005197376890859272,0.016666666666666666,5,2020-07-22,AGR,0.375,moderate,False,False,False,2.28,-2.18,1.5,balanced,False,AGR
161,186,25,24.07,163.73,peak_protect_dist,2020-10-14,0.9516129032258068,0.008595988538681891,0.935608145294438,1.5579445770587137,2.0,2.0,-0.04667342971869749,0.5666666666666667,3,2020-09-04,AGR,0.4,strong,False,False,False,10.79,0.0,14.73,balanced,False,AGR
187,196,9,-12.33,214.05,signal,2020-10-28,0.49999999999999917,0.061643835616438464,8.148723927969911,0.7966545121201326,1.0,0.0,-0.0019114252827493045,0.05,3,2020-10-15,AGR,0.31875,strong,False,False,False,-0.45,-2.67,0.56,balanced,False,AGR
217,239,22,53.94,,end,2020-12-31,0.9903846153846156,0.0020746887966804537,4.8296246723551945,1.4271491922066104,3.0,1.0,-0.10879491499009125,0.65,2,2020-11-27,AGR,0.4,strong,False,False,False,8.07,0.0,12.6,balanced,False,AGR
16,19,3,-15.94,273.89,signal_hard_cap,2020-02-05,0.585263157894737,0.14538745387453866,19.19496983687683,1.5952294083277008,3.0,3.0,0.11713780434409007,0.8833333333333333,5,2020-01-31,AMV,0.26775,weak,False,False,True,12.26,-11.96,-1.21,balanced,False,AMV
36,42,6,-10.22,198.67,signal_hard_cap,2020-03-09,0.272151898734177,0.30131004366812236,24.552429667519178,1.1813982143098474,1.0,3.0,0.1461016416870916,0.45,5,2020-02-28,AMV,0.34,weak,False,False,True,5.63,-15.5,1.73,balanced,False,AMV
