symbol,exit_reason,trades,total_pnl,avg_pnl,median_hold
AAS,end,1,21.46,21.46,5.0
AAS,peak_protect_dist,4,183.51,45.88,37.0
AAS,peak_protect_ema,2,23.65,11.82,31.5
AAS,signal,19,-56.12,-2.95,12.0
AAS,stop_loss,1,-7.8,-7.8,3.0
AAS,trailing_stop,4,37.21,9.3,13.0
AAV,end,3,64.6,21.53,19.0
AAV,peak_protect_dist,3,101.74,33.91,27.0
AAV,peak_protect_ema,1,28.89,28.89,25.0
AAV,signal,18,-6.07,-0.34,9.5
AAV,trailing_stop,2,63.52,31.76,21.0
ACB,end,1,4.81,4.81,9.0
ACB,peak_protect_dist,1,18.79,18.79,49.0
ACB,peak_protect_ema,1,10.68,10.68,26.0
ACB,signal,25,-4.64,-0.19,15.0
ACB,trailing_stop,2,5.45,2.72,14.5
BID,end,5,23.23,4.65,2.0
BID,peak_protect_dist,1,17.78,17.78,22.0
BID,signal,21,-27.92,-1.33,12.0
BID,stop_loss,1,-7.48,-7.48,8.0
BID,trailing_stop,5,16.72,3.34,14.0
BID,zombie_exit,2,-0.34,-0.17,18.0
DGC,end,3,14.67,4.89,4.0
DGC,peak_protect_dist,6,210.28,35.05,45.0
DGC,signal,19,-39.78,-2.09,12.0
DGC,stop_loss,1,-6.22,-6.22,7.0
FPT,end,4,30.6,7.65,28.0
FPT,peak_protect_dist,3,55.27,18.42,40.0
FPT,signal,18,-5.56,-0.31,16.5
FPT,stop_loss,1,-4.51,-4.51,6.0
FPT,trailing_stop,2,1.96,0.98,11.5
HPG,end,2,71.95,35.98,51.0
HPG,peak_protect_dist,2,34.93,17.46,35.0
HPG,signal,22,89.01,4.05,16.0
HPG,stop_loss,2,-11.56,-5.78,4.5
HPG,trailing_stop,1,-0.54,-0.54,23.0
MBB,end,3,26.61,8.87,6.0
MBB,peak_protect_dist,1,31.75,31.75,35.0
MBB,signal,25,18.57,0.74,15.0
MBB,stop_loss,1,-0.19,-0.19,22.0
MBB,trailing_stop,3,10.71,3.57,23.0
REE,end,2,16.85,8.43,33.0
REE,peak_protect_dist,2,33.92,16.96,39.5
REE,signal,23,-22.47,-0.98,15.0
REE,stop_loss,1,-5.81,-5.81,10.0
SSI,end,1,87.03,87.03,32.0
SSI,hard_stop,1,-8.08,-8.08,4.0
SSI,peak_protect_dist,4,129.0,32.25,41.0
SSI,peak_protect_ema,1,11.27,11.27,16.0
SSI,signal,23,13.32,0.58,12.0
SSI,stop_loss,1,-6.27,-6.27,2.0
SSI,trailing_stop,1,0.99,0.99,7.0
TCB,end,2,39.78,19.89,24.5
TCB,peak_protect_dist,2,31.15,15.58,31.0
TCB,signal,27,-39.48,-1.46,15.0
TCB,stop_loss,2,-9.59,-4.8,6.0
TCB,trailing_stop,2,3.92,1.96,12.0
TCB,zombie_exit,1,-2.65,-2.65,15.0
VIC,end,3,55.37,18.46,13.0
VIC,peak_protect_dist,2,76.34,38.17,30.0
VIC,peak_protect_ema,1,24.16,24.16,15.0
VIC,signal,18,80.3,4.46,14.0
VND,end,2,72.39,36.2,20.0
VND,peak_protect_dist,3,44.3,14.77,30.0
VND,peak_protect_ema,1,10.47,10.47,30.0
VND,signal,22,-40.61,-1.85,11.0
VND,stop_loss,1,-6.11,-6.11,2.0
VND,trailing_stop,8,196.59,24.57,11.5
VNM,peak_protect_dist,1,21.75,21.75,55.0
VNM,signal,21,-12.62,-0.6,13.0
VNM,stop_loss,1,-3.35,-3.35,7.0
