symbol,missed_rule_big_total,undercapture_gap_total,avoidable_gap_total,combined_gap_proxy
AAV,0.0,195.64000000000004,87.97,283.61
SSI,0.0,65.57,192.73000000000002,258.3
AAS,0.0,144.16,82.87,227.03
VND,0.0,79.03999999999999,124.83000000000001,203.87
DGC,0.0,146.79000000000002,47.81,194.60000000000002
TCB,0.0,52.32,92.75999999999999,145.07999999999998
BID,0.0,56.11,87.48,143.59
REE,0.0,36.25,53.16,89.41
MBB,0.0,52.64999999999999,30.35,83.0
HPG,0.0,33.67,31.799999999999997,65.47
VIC,0.0,22.84,31.7,54.54
ACB,0.0,35.43,14.14,49.57
FPT,0.0,11.080000000000002,8.870000000000001,19.950000000000003
VNM,0.0,0.0,0.0,0.0
