symbol,v1_trades,v1_wr,v1_avg_pnl,v1_total_pnl,v1_pf,v1_max_loss,v2_trades,v2_wr,v2_avg_pnl,v2_total_pnl,v2_pf,v2_max_loss,delta_pnl,delta_wr,delta_pf
SCI,23,47.83,11.404,262.3,4.632,-10.6,24,41.67,16.405,393.73,5.737,-10.6,131.43,-6.16,1.105
SDA,17,35.29,49.452,840.68,8.881,-17.46,18,33.33,52.217,939.91,9.19,-17.46,99.23,-1.96,0.309
PAC,21,33.33,-0.84,-17.65,0.749,-16.21,20,40.0,3.006,60.11,2.071,-16.21,77.76,6.67,1.322
VDS,25,60.0,10.097,252.42,7.292,-7.88,22,77.27,13.986,307.69,16.331,-7.88,55.27,17.27,9.039
TTN,26,53.85,9.207,239.37,4.893,-11.83,27,51.85,10.894,294.14,4.836,-14.18,54.77,-1.99,-0.057
QBS,17,23.53,-2.515,-42.76,0.654,-24.57,16,25.0,0.321,5.13,1.042,-24.57,47.89,1.47,0.388
VC7,26,34.62,8.499,220.97,2.663,-25.57,27,37.04,9.943,268.46,3.017,-25.57,47.49,2.42,0.354
SHB,32,34.38,6.991,223.7,2.953,-13.34,29,34.48,9.279,269.09,3.719,-13.34,45.39,0.11,0.766
SBS,25,44.0,2.058,51.45,1.51,-13.73,24,54.17,3.974,95.38,2.209,-13.73,43.93,10.17,0.7
ACV,26,46.15,2.716,70.62,2.426,-11.48,23,43.48,4.876,112.15,3.247,-11.48,41.53,-2.68,0.822
AGR,32,50.0,7.793,249.38,3.242,-15.61,31,54.84,9.379,290.75,4.623,-15.48,41.37,4.84,1.381
SCR,36,55.56,4.984,179.43,2.65,-14.17,32,59.38,6.818,218.18,3.415,-14.17,38.75,3.82,0.765
HDC,35,40.0,3.355,117.41,1.784,-14.74,35,37.14,4.46,156.1,2.054,-14.74,38.69,-2.86,0.27
GVR,39,38.46,4.11,160.29,1.996,-15.45,39,38.46,5.073,197.86,2.344,-20.39,37.57,0.0,0.348
DQC,27,40.74,-1.501,-40.52,0.702,-29.2,26,42.31,-0.153,-3.99,0.967,-29.2,36.53,1.57,0.265
PVI,31,41.94,1.279,39.66,1.658,-11.22,28,50.0,2.682,75.11,2.699,-11.22,35.45,8.06,1.041
TCH,34,38.24,2.139,72.74,1.508,-15.83,30,43.33,3.573,107.2,2.037,-15.83,34.46,5.1,0.53
VCR,16,43.75,11.354,181.66,3.471,-28.57,15,40.0,14.369,215.53,6.429,-15.38,33.87,-3.75,2.958
MHC,25,44.0,9.074,226.85,3.563,-22.03,24,45.83,10.855,260.52,4.151,-22.03,33.67,1.83,0.588
SAM,27,48.15,3.11,83.96,1.844,-21.1,26,53.85,4.522,117.56,2.57,-14.52,33.6,5.7,0.725
POM,22,31.82,2.213,48.68,1.602,-14.29,20,35.0,4.079,81.58,2.428,-11.86,32.9,3.18,0.826
HCD,38,42.11,3.902,148.27,2.397,-12.95,35,45.71,5.147,180.16,2.947,-12.95,31.89,3.61,0.55
VPG,27,44.44,3.394,91.63,1.645,-37.1,29,37.93,4.254,123.36,2.03,-37.1,31.73,-6.51,0.385
SSI,37,45.95,6.078,224.9,3.147,-12.69,34,44.12,7.536,256.22,3.853,-12.69,31.32,-1.83,0.706
CMS,13,30.77,17.965,233.55,3.642,-30.84,13,30.77,20.303,263.94,4.603,-30.84,30.39,0.0,0.961
PVC,37,45.95,1.628,60.23,1.486,-16.24,35,45.71,2.539,88.85,1.778,-16.14,28.62,-0.23,0.292
NTP,35,51.43,2.684,93.95,2.088,-15.21,34,55.88,3.583,121.81,2.653,-15.21,27.86,4.45,0.565
PVP,26,42.31,1.364,35.47,1.515,-11.81,24,54.17,2.637,63.29,2.118,-11.81,27.82,11.86,0.603
AGM,22,22.73,1.596,35.11,1.423,-24.39,20,30.0,3.129,62.58,1.817,-24.39,27.47,7.27,0.394
NTL,35,48.57,2.489,87.11,1.692,-14.36,33,57.58,3.457,114.09,2.062,-14.36,26.98,9.0,0.37
DL1,25,44.0,3.79,94.75,2.179,-12.41,23,52.17,5.254,120.85,3.212,-12.41,26.1,8.17,1.032
PGC,20,35.0,1.968,39.37,1.533,-13.98,19,36.84,3.445,65.46,2.303,-13.98,26.09,1.84,0.77
PXT,17,23.53,5.809,98.75,2.149,-12.36,16,31.25,7.797,124.75,2.623,-12.36,26.0,7.72,0.474
TDH,24,45.83,3.17,76.08,2.014,-11.56,22,50.0,4.621,101.67,3.016,-11.3,25.59,4.17,1.003
DDV,26,46.15,6.287,163.47,2.557,-14.66,27,44.44,6.999,188.97,2.583,-14.66,25.5,-1.71,0.025
CTS,35,54.29,10.001,350.02,5.048,-12.3,33,57.58,11.364,375.02,5.496,-12.3,25.0,3.29,0.448
GKM,24,29.17,8.942,214.62,4.273,-12.77,23,34.78,10.406,239.33,5.571,-12.77,24.71,5.62,1.298
DTD,38,39.47,3.592,136.48,1.867,-24.16,39,41.03,4.13,161.08,1.996,-24.16,24.6,1.55,0.129
HID,26,53.85,9.212,239.5,4.277,-15.33,26,57.69,10.147,263.81,4.828,-15.33,24.31,3.85,0.551
NKG,38,47.37,6.144,233.47,2.68,-14.01,35,51.43,7.363,257.72,3.372,-12.2,24.25,4.06,0.693
BCE,29,41.38,4.067,117.94,2.335,-16.02,30,43.33,4.733,141.99,2.899,-12.44,24.05,1.95,0.564
HT1,33,42.42,2.223,73.37,2.073,-15.33,31,45.16,3.141,97.38,2.591,-15.33,24.01,2.74,0.518
GEG,38,39.47,-0.394,-14.98,0.892,-13.3,35,40.0,0.257,8.99,1.075,-13.3,23.97,0.53,0.183
BSR,37,40.54,3.077,113.84,1.886,-15.78,34,47.06,4.047,137.59,2.397,-15.78,23.75,6.52,0.512
VC2,20,60.0,12.926,258.52,8.233,-12.36,19,57.89,14.843,282.01,8.096,-12.36,23.49,-2.11,-0.137
SLS,24,54.17,5.679,136.3,3.677,-11.85,25,60.0,6.382,159.55,4.276,-11.85,23.25,5.83,0.599
VND,33,51.52,9.989,329.65,4.951,-14.86,32,43.75,11.016,352.52,4.75,-14.86,22.87,-7.77,-0.201
TVC,25,48.0,4.54,113.5,2.526,-20.77,24,50.0,5.672,136.13,2.757,-20.77,22.63,2.0,0.231
HHG,16,12.5,4.009,64.14,1.661,-19.0,16,18.75,5.413,86.61,2.089,-19.0,22.47,6.25,0.428
KDH,41,34.15,1.736,71.17,1.683,-12.27,39,38.46,2.401,93.62,2.101,-12.27,22.45,4.32,0.418
PNJ,37,37.84,-0.692,-25.61,0.725,-10.62,37,37.84,-0.089,-3.28,0.963,-10.62,22.33,0.0,0.238
PVG,21,33.33,0.941,19.77,1.205,-18.79,19,31.58,2.204,41.88,1.465,-18.79,22.11,-1.75,0.261
VGC,35,57.14,3.117,109.08,2.091,-11.84,33,51.52,3.966,130.89,2.449,-11.84,21.81,-5.63,0.358
PVB,32,46.88,4.86,155.52,3.15,-11.5,29,51.72,6.114,177.32,3.83,-13.33,21.8,4.85,0.68
NED,20,35.0,1.902,38.03,1.567,-20.1,19,36.84,3.144,59.74,2.058,-12.8,21.71,1.84,0.491
KSQ,19,26.32,8.512,161.72,2.48,-15.0,19,26.32,9.649,183.34,2.9,-14.58,21.62,0.0,0.421
KMR,23,30.43,-1.297,-29.82,0.685,-22.07,23,30.43,-0.37,-8.5,0.908,-22.07,21.32,0.0,0.223
QCG,27,37.04,15.91,429.56,4.334,-17.9,26,42.31,17.317,450.25,4.808,-17.9,20.69,5.27,0.474
PLP,24,50.0,3.664,87.93,2.059,-15.13,25,48.0,4.331,108.28,2.338,-15.13,20.35,-2.0,0.279
DBC,37,43.24,4.841,179.13,2.429,-15.81,36,52.78,5.534,199.22,2.698,-15.81,20.09,9.53,0.269
DPM,38,39.47,2.646,100.56,2.029,-11.45,36,47.22,3.338,120.15,2.356,-11.45,19.59,7.75,0.327
PV2,18,33.33,3.236,58.25,1.493,-20.41,17,35.29,4.54,77.18,1.778,-17.39,18.93,1.96,0.285
HAP,29,37.93,1.815,52.64,1.468,-14.85,29,41.38,2.462,71.39,1.737,-14.72,18.75,3.45,0.269
NHH,32,37.5,-2.332,-74.63,0.498,-15.35,31,41.94,-1.804,-55.91,0.608,-15.35,18.72,4.44,0.109
THG,35,40.0,1.064,37.24,1.441,-10.99,36,41.67,1.552,55.87,1.628,-11.98,18.63,1.67,0.187
TV2,38,55.26,1.057,40.18,1.289,-42.14,35,48.57,1.673,58.54,1.687,-10.4,18.36,-6.69,0.399
DSC,17,35.29,0.896,15.24,1.162,-26.94,18,33.33,1.866,33.59,1.329,-26.94,18.35,-1.96,0.167
TDG,28,25.0,4.066,113.84,1.755,-11.92,27,25.93,4.893,132.1,1.989,-11.92,18.26,0.93,0.234
BVS,34,38.24,3.171,107.81,1.802,-17.36,32,46.88,3.933,125.85,2.146,-17.36,18.04,8.64,0.345
TIP,31,41.94,0.498,15.45,1.147,-14.55,31,51.61,1.074,33.29,1.335,-12.77,17.84,9.68,0.188
PVT,41,41.46,0.711,29.15,1.282,-15.35,39,41.03,1.202,46.86,1.511,-15.35,17.71,-0.44,0.229
VEF,25,44.0,3.399,84.98,1.721,-21.95,25,44.0,4.102,102.56,2.013,-21.95,17.58,0.0,0.292
CDC,22,40.91,3.18,69.97,2.587,-6.88,22,40.91,3.978,87.52,3.269,-6.84,17.55,0.0,0.682
BWE,38,42.11,0.846,32.16,1.408,-11.91,37,40.54,1.315,48.67,1.697,-11.91,16.51,-1.56,0.289
CTD,37,37.84,2.486,91.99,1.636,-16.03,37,45.95,2.932,108.49,1.84,-16.03,16.5,8.11,0.204
TTH,21,38.1,5.809,121.99,3.033,-18.48,22,45.45,6.295,138.48,3.123,-18.48,16.49,7.36,0.09
HPG,34,47.06,4.827,164.13,2.892,-14.17,32,53.12,5.643,180.57,3.51,-12.35,16.44,6.07,0.619
DVP,30,60.0,2.601,78.03,3.185,-13.14,28,60.71,3.366,94.26,4.012,-13.14,16.23,0.71,0.827
CLX,19,47.37,1.953,37.11,1.7,-13.29,20,50.0,2.609,52.17,2.077,-13.29,15.06,2.63,0.378
FOX,28,42.86,2.73,76.44,1.968,-29.95,26,50.0,3.496,90.9,2.259,-29.95,14.46,7.14,0.291
PTL,21,23.81,3.661,76.89,1.695,-18.35,20,25.0,4.555,91.1,1.911,-18.35,14.21,1.19,0.216
LDG,26,34.62,10.783,280.37,3.164,-15.23,25,36.0,11.774,294.34,3.575,-12.86,13.97,1.38,0.411
VIP,32,43.75,2.666,85.3,1.815,-15.43,36,38.89,2.747,98.88,1.756,-13.84,13.58,-4.86,-0.059
HAG,35,42.86,5.725,200.38,2.609,-11.93,33,42.42,6.473,213.62,2.88,-11.93,13.24,-0.43,0.271
VOC,26,30.77,1.655,43.04,1.395,-17.5,25,40.0,2.249,56.23,1.555,-17.5,13.19,9.23,0.16
APG,31,45.16,5.228,162.07,2.754,-14.13,28,42.86,6.255,175.14,2.891,-14.13,13.07,-2.3,0.137
VC3,31,25.81,3.044,94.36,2.252,-7.72,29,34.48,3.698,107.24,2.658,-9.23,12.88,8.68,0.406
BCC,33,39.39,1.461,48.21,1.309,-17.86,32,37.5,1.897,60.71,1.406,-17.86,12.5,-1.89,0.097
CNG,29,37.93,0.776,22.49,1.225,-15.72,27,44.44,1.287,34.75,1.398,-15.72,12.26,6.51,0.173
