symbol,window,entry_idx,exit_idx,entry_price,exit_price,hold_days,buy_prob,trade_return_pct,max_dd_pct,max_profit_pct,gave_back_pct,entry_wave_pos,actual_target,after_exit_5d_pct,is_win
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1153,1163,9.7,9.5,10,0.62,-2.06,-14.43,0.82,2.89,0.37,0,0.42,False
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1164,1174,9.39,9.62,10,0.614,2.45,0.0,9.9,7.45,0.74,1,0.0,True
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1176,1186,9.78,8.38,10,0.62,-14.31,-14.31,0.72,15.03,0.73,0,1.79,False
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1206,1216,8.46,9.66,10,0.613,14.18,-2.36,14.18,0.0,0.86,1,-6.42,True
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1218,1228,9.85,9.74,10,0.613,-1.12,-8.22,0.0,1.12,0.97,0,0.0,False
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1229,1239,9.66,9.74,10,0.728,0.83,-1.24,4.45,3.62,0.83,0,7.19,True
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1240,1250,9.66,9.89,10,0.733,2.38,0.0,11.28,8.9,0.59,1,1.21,True
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1253,1263,9.85,9.58,10,0.626,-2.74,-5.08,3.96,6.7,0.32,0,0.0,False
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1269,1279,9.89,9.7,10,0.688,-1.92,-2.73,0.81,2.73,0.61,0,-11.24,False
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1295,1305,9.5,9.74,10,0.6,2.53,-1.16,3.68,1.16,0.69,0,0.41,True
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1306,1316,9.74,9.9,10,0.715,1.64,-0.41,2.46,0.82,0.91,0,-0.81,True
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1317,1327,9.86,9.82,10,0.699,-0.41,-0.81,1.62,2.03,0.8,0,1.63,False
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1328,1338,9.9,9.86,10,0.689,-0.4,-0.81,2.42,2.83,0.63,0,0.71,False
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1339,1349,9.94,9.25,10,0.619,-6.94,-7.85,1.61,8.55,0.44,0,0.86,False
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1361,1371,9.71,10.69,10,0.628,10.09,0.0,11.02,0.93,0.62,1,2.34,True
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1372,1382,10.94,11.33,10,0.633,3.56,-0.73,3.56,0.0,1.0,0,5.56,True
AAA,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1383,1393,11.2,12.22,10,0.614,9.11,0.0,9.46,0.36,0.88,1,5.16,True
AAA,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],1395,1405,12.3,12.22,10,0.652,-0.65,-0.65,9.02,9.67,0.97,1,0.0,False
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1661,1671,17.19,17.09,10,0.642,-0.58,-3.08,4.19,4.77,0.22,0,3.39,False
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1672,1682,16.95,16.52,10,0.621,-2.54,-2.54,4.84,7.37,0.54,0,3.45,False
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1684,1694,17.0,17.86,10,0.668,5.06,-0.59,9.59,4.53,0.35,1,-1.34,True
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1717,1727,12.87,11.33,10,0.605,-11.97,-19.81,0.0,11.97,0.09,0,8.03,False
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1731,1741,12.1,11.96,10,0.605,-1.16,-4.38,1.16,2.31,0.56,0,-4.85,False
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1743,1753,12.29,11.33,10,0.656,-7.81,-19.53,0.0,7.81,0.8,0,-2.91,False
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1758,1768,11.0,11.48,10,0.653,4.36,-4.36,6.09,1.73,0.39,0,4.53,True
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1769,1779,11.52,11.96,10,0.693,3.82,-2.08,4.17,0.35,0.92,0,2.76,True
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1780,1790,12.15,12.15,10,0.619,0.0,-1.23,2.72,2.72,1.0,0,-1.98,False
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1791,1801,12.0,11.48,10,0.72,-4.33,-4.75,0.0,4.33,0.54,0,-5.49,False
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1822,1832,8.83,7.84,10,0.614,-11.21,-16.31,0.45,11.66,0.0,0,-13.65,False
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1833,1843,8.0,7.45,10,0.743,-6.87,-15.38,0.0,6.87,0.2,0,-9.8,False
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1844,1854,7.58,5.84,10,0.737,-22.96,-27.97,0.0,22.96,0.39,0,9.42,False
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1855,1865,6.15,7.3,10,0.711,18.7,0.0,18.7,0.0,0.29,1,-0.14,True
AAA,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1867,1877,6.92,6.84,10,0.677,-1.16,-1.16,8.38,9.54,0.79,1,-2.78,False
