model,mode,window,return_pct,win_rate,pf,trades,avg_win,avg_loss,max_loss,max_win
random_forest,v4,train_2016-2019_test_2020,102.47,52.4,24.33,21,37.71,-1.42,-4.36,66.67
random_forest,v4,train_2017-2020_test_2021,88.48,55.3,7.07,38,26.62,-2.64,-7.01,68.03
random_forest,v4,train_2018-2021_test_2022,-31.97,36.0,5.89,25,26.63,-1.75,-5.95,58.39
random_forest,v4,train_2019-2022_test_2023,22.37,43.8,5.94,48,20.56,-2.02,-6.18,62.76
random_forest,v4,train_2020-2023_test_2024,-32.83,48.6,7.68,35,25.59,-2.11,-5.24,58.95
random_forest,v4,train_2021-2024_test_2025,75.13,38.1,9.48,42,31.94,-1.58,-4.78,110.75
xgboost,v4,train_2016-2019_test_2020,117.52,59.1,23.5,22,36.45,-1.89,-4.36,66.67
xgboost,v4,train_2017-2020_test_2021,79.85,50.0,8.03,42,31.45,-2.42,-7.1,79.92
xgboost,v4,train_2018-2021_test_2022,-45.83,37.0,4.38,27,27.11,-2.36,-7.53,48.37
xgboost,v4,train_2019-2022_test_2023,39.85,47.2,7.8,53,20.51,-1.72,-6.23,60.88
xgboost,v4,train_2020-2023_test_2024,-28.76,42.9,7.31,42,24.19,-1.77,-6.79,58.95
xgboost,v4,train_2021-2024_test_2025,10.29,46.7,16.34,45,28.49,-1.08,-4.49,110.75
lightgbm,v4,train_2016-2019_test_2020,102.45,52.0,22.21,25,35.98,-1.48,-4.36,66.67
lightgbm,v4,train_2017-2020_test_2021,120.89,62.5,12.41,40,25.6,-1.83,-6.48,79.92
lightgbm,v4,train_2018-2021_test_2022,-49.65,29.6,2.78,27,27.47,-2.75,-7.38,48.37
lightgbm,v4,train_2019-2022_test_2023,11.59,48.1,6.1,54,17.7,-2.03,-7.78,60.88
lightgbm,v4,train_2020-2023_test_2024,-35.41,46.3,9.86,41,26.78,-1.63,-6.79,58.95
lightgbm,v4,train_2021-2024_test_2025,22.05,46.5,13.3,43,28.18,-1.31,-4.78,110.75
