model,mode,window,return_pct,win_rate,pf,trades,max_dd,avg_win,avg_loss,max_win
random_forest,v4,train_2016-2019_test_2020,102.47,52.4,24.33,21,-22.99,37.71,-1.42,66.67
random_forest,v4,train_2017-2020_test_2021,88.48,55.3,7.07,38,-32.84,26.62,-2.64,68.03
random_forest,v4,train_2018-2021_test_2022,-31.97,36.0,5.89,25,-34.54,26.63,-1.75,58.39
random_forest,v4,train_2019-2022_test_2023,22.37,43.8,5.94,48,-37.11,20.56,-2.02,62.76
random_forest,v4,train_2020-2023_test_2024,-32.83,48.6,7.68,35,-41.79,25.59,-2.11,58.95
random_forest,v4,train_2021-2024_test_2025,75.13,38.1,9.48,42,-36.93,31.94,-1.58,110.75
random_forest,v5,train_2016-2019_test_2020,67.98,76.2,93.52,21,-16.99,88.6,-1.64,136.58
random_forest,v5,train_2017-2020_test_2021,57.78,82.9,67.67,35,-19.09,77.99,-2.49,142.59
random_forest,v5,train_2018-2021_test_2022,-17.75,69.6,50.93,23,-18.99,92.96,-1.99,115.52
random_forest,v5,train_2019-2022_test_2023,10.4,82.2,76.19,45,-35.48,110.99,-2.48,262.78
random_forest,v5,train_2020-2023_test_2024,-21.63,88.2,166.75,34,-28.41,94.76,-1.92,116.11
random_forest,v5,train_2021-2024_test_2025,53.43,73.7,66.41,38,-23.86,95.64,-1.91,130.99
xgboost,v4,train_2016-2019_test_2020,117.52,59.1,23.5,22,-22.97,36.45,-1.89,66.67
xgboost,v4,train_2017-2020_test_2021,79.85,50.0,8.03,42,-30.27,31.45,-2.42,79.92
xgboost,v4,train_2018-2021_test_2022,-45.83,37.0,4.38,27,-45.83,27.11,-2.36,48.37
xgboost,v4,train_2019-2022_test_2023,39.85,47.2,7.8,53,-27.27,20.51,-1.72,60.88
xgboost,v4,train_2020-2023_test_2024,-28.76,42.9,7.31,42,-37.65,24.19,-1.77,58.95
xgboost,v4,train_2021-2024_test_2025,10.29,46.7,16.34,45,-35.11,28.49,-1.08,110.75
xgboost,v5,train_2016-2019_test_2020,95.19,85.7,103.28,21,-21.59,82.85,-2.6,136.58
xgboost,v5,train_2017-2020_test_2021,55.87,72.5,33.58,40,-22.2,87.15,-3.06,136.56
xgboost,v5,train_2018-2021_test_2022,-43.24,69.2,72.69,26,-43.24,143.07,-1.53,239.22
xgboost,v5,train_2019-2022_test_2023,39.84,74.5,45.75,47,-26.89,76.44,-2.22,131.34
xgboost,v5,train_2020-2023_test_2024,-7.76,85.4,222.44,41,-26.23,84.43,-1.05,116.11
xgboost,v5,train_2021-2024_test_2025,9.96,85.4,303.81,41,-30.08,86.46,-0.78,184.67
lightgbm,v4,train_2016-2019_test_2020,102.45,52.0,22.21,25,-25.68,35.98,-1.48,66.67
lightgbm,v4,train_2017-2020_test_2021,120.89,62.5,12.41,40,-20.7,25.6,-1.83,79.92
lightgbm,v4,train_2018-2021_test_2022,-49.65,29.6,2.78,27,-49.65,27.47,-2.75,48.37
lightgbm,v4,train_2019-2022_test_2023,11.59,48.1,6.1,54,-40.99,17.7,-2.03,60.88
lightgbm,v4,train_2020-2023_test_2024,-35.41,46.3,9.86,41,-43.37,26.78,-1.63,58.95
lightgbm,v4,train_2021-2024_test_2025,22.05,46.5,13.3,43,-32.92,28.18,-1.31,110.75
lightgbm,v5,train_2016-2019_test_2020,73.96,79.2,73.52,24,-23.32,82.96,-2.28,136.58
lightgbm,v5,train_2017-2020_test_2021,37.55,79.5,55.1,39,-20.81,82.34,-2.48,146.62
lightgbm,v5,train_2018-2021_test_2022,-39.1,76.0,98.79,25,-39.1,139.95,-1.62,239.22
lightgbm,v5,train_2019-2022_test_2023,15.85,85.7,126.78,49,-37.27,111.27,-1.91,264.52
lightgbm,v5,train_2020-2023_test_2024,-24.21,87.8,391.34,41,-31.45,97.94,-0.75,233.72
lightgbm,v5,train_2021-2024_test_2025,13.39,85.0,123.43,40,-22.29,84.25,-1.8,184.67
