entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_efficiency,future_upside_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,model
32,37,5,42.27,45.31,93.3,1.98,signal,37,0.5477178423236508,0.11330561330561348,20.68695745364913,1.227611489362658,1.0,2.0,0.08867146501231439,0.9333333333333333,5,32,AAA,0.7,random_forest
72,81,9,48.51,54.62,88.8,8.85,signal,81,0.713114754098361,0.07882882882882875,13.897790680138726,1.5969463610890693,1.0,2.0,0.03272843741782948,0.75,5,72,AAA,0.7,random_forest
86,92,6,-0.25,0.0,0.0,10.37,zombie_exit,92,0.7711442786069657,0.04722792607802865,2.5187212193435613,0.8675460898717016,1.0,2.0,-0.05791212531620532,0.11666666666666667,3,86,AAA,1.0,random_forest
93,96,3,5.06,5.32,95.1,10.82,trailing_stop,96,0.48333333333333367,0.06471816283924835,16.014316174230885,0.8681802761709196,2.0,3.0,-0.018864714417130158,0.016666666666666666,4,93,AAA,1.0,random_forest
105,109,4,-5.78,1.91,-302.4,8.59,stop_loss,109,0.680272108843538,0.044890162368672284,13.568773234200748,1.5231126122936858,2.0,3.0,0.04915575113554174,0.31666666666666665,5,105,AAA,1.0,random_forest
172,185,13,100.35,103.04,97.4,3.26,signal,185,0.6714285714285714,0.02361396303901442,2.322580645161281,0.683379990493063,1.0,2.0,0.010810437502519445,0.016666666666666666,4,172,AAA,0.5,random_forest
190,195,5,-1.85,0.0,0.0,2.02,signal,195,0.5,0.03206412825651305,-0.2089864158829613,1.12176016933233,1.0,2.0,0.03055210763513351,0.16666666666666666,4,190,AAA,1.0,random_forest
200,205,5,-4.17,0.0,0.0,13.97,stop_loss,205,0.42187499999999895,0.037260825780463344,5.673274094326665,0.729261412640914,1.0,1.0,-0.007139055860087062,0.26666666666666666,3,200,AAA,1.0,random_forest
223,254,31,55.9,60.18,92.9,14.29,signal,254,0.7529411764705882,0.04022988505747126,33.97129186602872,1.9528368903851498,3.0,3.0,-0.038572557279351,1.0,4,223,AAA,0.7,random_forest
283,291,8,58.72,65.31,89.9,7.08,signal,291,0.6808510638297871,0.11363636363636369,25.637755102040835,1.3774123869823383,3.0,3.0,0.34930900922273267,0.9666666666666667,5,283,AAS,0.7,random_forest
297,302,5,95.42,100.16,95.3,0.0,signal,302,0.8650793650793651,0.0230040595399188,6.342368612896813,1.2569128138905006,1.0,2.0,0.06434955892379604,1.0,4,297,AAV,0.5,random_forest
388,396,8,8.98,18.5,48.5,6.89,trailing_stop,396,0.6440677966101696,0.09251101321585901,10.134087575948051,1.4339947534636919,1.0,1.0,0.35407043283744855,0.7,4,388,AAV,1.0,random_forest
403,407,4,-1.81,0.0,0.0,3.62,stop_loss,407,0.6622516556291391,0.09960937499999996,0.6617134896679886,0.9069152671903095,1.0,2.0,-0.008112909689983901,0.6166666666666667,4,403,AAV,1.0,random_forest
441,450,9,37.71,46.42,81.2,45.22,signal,450,0.903954802259887,0.033730158730158714,32.95025728987992,1.4366517302461526,3.0,3.0,0.21452717298535917,1.0,4,441,AAV,0.7,random_forest
452,462,10,40.28,40.63,99.1,-2.33,signal,462,0.8511904761904762,0.04646840148698885,0.24383247274812447,1.0713308120887868,1.0,3.0,-0.0646335171577888,0.48333333333333334,3,452,AAV,1.0,random_forest
498,516,18,91.99,91.99,100.0,0.0,end,516,0.9125874125874126,0.03004807692307692,23.9039827107132,1.7870610885310028,3.0,4.0,0.08912288819684466,0.7833333333333333,4,498,AAV,0.7,random_forest
4,13,9,94.08,104.51,90.0,0.0,signal,13,0.8760330578512394,0.02334630350194558,2.9901056515176947,1.1525363057649123,0.0,2.0,-0.0338559630913695,0.85,4,4,AAA,0.5,random_forest
38,54,16,53.85,61.44,87.7,12.27,signal,54,0.7681159420289859,0.05276174773289355,1.1357729084292885,0.9569228867415991,2.0,3.0,0.002036702913603647,0.8166666666666667,3,38,AAA,0.7,random_forest
