entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,exit_trend,exit_dist_sma20,exit_ret_5d,exit_rsi14,exit_macd_hist,price_max_profit_pct,exit_above_sma20,exit_above_ema8,exit_vol_ratio,symbol
59,74,15,0.0,288.82,model_b_exit,2020-04-23,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-01,CDO,0.26775,weak,False,False,True,0.0,-20.0,-6.43,balanced,False,weak,0.0,0.0,60.0,0.00856,12.5,1.0,0.0,2.17,CDO
106,115,9,0.0,313.29,model_b_exit,2020-06-23,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-06-10,CDO,0.25,strong,False,False,False,-10.0,-10.0,2.27,balanced,False,moderate,-3.74,-10.0,42.86,-0.00268,11.11,0.0,0.0,1.1,CDO
170,179,9,25.0,308.56,model_b_exit,2020-12-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-16,CDO,0.26775,weak,False,False,True,-11.11,-11.11,-1.23,balanced,False,strong,12.36,-9.09,57.14,0.01652,37.5,1.0,1.0,2.56,CDO
180,181,1,0.0,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-30,CDO,0.26775,strong,False,False,False,0.0,0.0,21.55,balanced,False,,,,,,,,,,CDO
40,49,9,0.0,274.3,model_b_exit,2021-03-19,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-03-08,CDO,0.26775,strong,False,False,False,25.0,0.0,21.21,balanced,False,strong,11.42,11.11,75.0,0.01686,0.0,1.0,1.0,1.13,CDO
55,64,9,66.67,331.15,model_b_exit,2021-04-09,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-03-29,CDO,0.26775,strong,False,False,False,5.0,0.0,9.95,balanced,False,strong,54.53,59.09,89.47,0.14779,66.67,1.0,1.0,1.12,CDO
69,78,9,-22.22,302.13,model_b_exit,2021-05-04,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-04-16,CDO,0.25,strong,False,False,False,2.86,-16.28,29.73,balanced,False,moderate,-13.85,-12.5,41.86,-0.13212,0.0,0.0,0.0,0.3,CDO
101,110,9,-3.12,271.0,model_b_exit,2021-06-17,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-06-04,CDO,0.26775,moderate,False,False,False,10.34,-3.03,8.47,balanced,False,moderate,2.99,3.33,57.14,0.00128,0.0,1.0,1.0,1.08,CDO
125,135,10,-15.38,266.74,model_b_exit,2021-07-22,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-07-08,CDO,0.26775,weak,False,False,True,-7.14,-16.13,-8.93,balanced,False,weak,-10.75,-4.35,36.84,-0.02006,0.0,0.0,0.0,1.1,CDO
168,177,9,46.67,317.54,model_b_exit,2021-09-22,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-09-09,CDO,0.26775,moderate,False,False,False,20.0,-3.23,24.22,balanced,False,strong,41.94,7.32,72.09,0.12843,46.67,1.0,1.0,1.46,CDO
178,189,11,-13.95,291.14,model_b_exit,2021-10-08,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-09-23,CDO,0.25,strong,False,False,False,16.22,-2.27,34.37,balanced,False,moderate,-0.94,8.82,44.44,-0.053,0.0,0.0,1.0,0.25,CDO
195,204,9,2.38,281.25,model_b_exit,2021-10-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-10-18,CDO,0.26775,strong,False,False,False,16.67,-4.55,13.21,balanced,False,strong,8.31,0.0,68.42,0.01576,7.14,1.0,1.0,1.16,CDO
205,214,9,29.17,301.38,model_b_exit,2021-11-12,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-11-01,CDO,0.26775,strong,False,False,False,11.63,0.0,18.96,balanced,False,strong,26.79,16.98,82.76,0.08633,29.17,1.0,1.0,1.8,CDO
216,225,9,5.0,316.69,model_b_exit,2021-11-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-11-16,CDO,0.25,strong,False,False,False,7.14,-10.45,17.42,balanced,False,strong,5.35,3.28,58.14,-0.07373,16.67,1.0,1.0,0.72,CDO
226,235,9,17.39,296.22,model_b_exit,2021-12-13,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-11-30,CDO,0.26775,strong,False,False,False,13.11,-1.43,13.77,balanced,False,strong,16.55,15.71,65.62,0.00558,23.19,1.0,1.0,0.86,CDO
236,245,9,2.5,304.39,model_b_exit,2021-12-27,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-12-14,CDO,0.25,strong,False,False,False,1.27,-5.88,13.48,balanced,False,strong,4.99,5.13,55.56,-0.03463,3.75,1.0,1.0,0.72,CDO
246,249,3,0.0,,end,2021-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-12-28,CDO,0.26775,strong,False,False,False,7.69,-1.18,6.53,balanced,False,,,,,,,,,,CDO
48,70,22,-45.33,307.12,signal,2022-04-20,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-03-18,CDO,0.25,strong,False,False,False,-5.06,-5.06,5.41,balanced,False,weak,-37.4,-33.87,10.53,-0.29042,6.67,0.0,0.0,1.02,CDO
117,131,14,0.0,277.52,model_b_exit,2022-07-18,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-06-28,CDO,0.26775,weak,False,False,True,25.93,-26.09,-7.36,balanced,False,weak,5.26,6.25,50.0,0.07612,2.94,1.0,1.0,0.64,CDO
148,162,14,-10.26,194.41,model_b_exit,2022-08-30,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-08-10,CDO,0.34,strong,False,False,False,8.33,0.0,11.11,balanced,False,weak,-4.11,0.0,30.0,-0.02508,0.0,0.0,0.0,0.73,CDO
