entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,exit_trend,exit_dist_sma20,exit_ret_5d,exit_rsi14,exit_macd_hist,price_max_profit_pct,exit_above_sma20,exit_above_ema8,exit_vol_ratio,symbol
59,66,7,0.0,287.76,model_b_exit,2020-04-13,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-01,CDO,0.26775,weak,False,False,True,0.0,-20.0,-6.43,balanced,False,weak,-1.84,0.0,50.0,0.01407,12.5,0.0,0.0,0.18,CDO
106,113,7,0.0,312.43,model_b_exit,2020-06-19,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-06-10,CDO,0.25,strong,False,False,False,-10.0,-10.0,2.27,balanced,False,moderate,-2.17,0.0,50.0,0.00172,11.11,0.0,0.0,0.66,CDO
170,181,11,37.5,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-16,CDO,0.26775,weak,False,False,True,-11.11,-11.11,-1.23,balanced,False,,,,,,,,,,CDO
40,53,13,-5.0,274.3,model_b_exit,2021-03-25,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-03-08,CDO,0.26775,strong,False,False,False,25.0,0.0,21.21,balanced,False,strong,1.88,-5.0,40.0,-0.00417,0.0,1.0,0.0,0.49,CDO
55,72,17,61.9,356.54,model_b_exit,2021-04-22,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-03-29,CDO,0.26775,strong,False,False,False,5.0,0.0,9.95,balanced,False,strong,13.71,-19.05,65.85,-0.00631,104.76,1.0,0.0,0.42,CDO
101,107,6,-6.25,270.92,model_b_exit,2021-06-14,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-06-04,CDO,0.26775,moderate,False,False,False,10.34,-3.03,8.47,balanced,False,weak,-0.66,-3.23,53.33,-7e-05,0.0,0.0,0.0,0.62,CDO
125,131,6,-11.54,266.74,model_b_exit,2021-07-16,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-07-08,CDO,0.26775,weak,False,False,True,-7.14,-16.13,-8.93,balanced,False,weak,-12.71,-4.17,31.25,-0.03249,0.0,0.0,0.0,0.34,CDO
168,182,14,16.67,317.54,model_b_exit,2021-09-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-09-09,CDO,0.26775,moderate,False,False,False,20.0,-3.23,24.22,balanced,False,moderate,1.45,-20.45,56.1,-0.06318,46.67,1.0,0.0,0.28,CDO
195,222,27,47.62,332.04,model_b_exit,2021-11-24,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-10-18,CDO,0.26775,strong,False,False,False,16.67,-4.55,13.21,balanced,False,strong,8.2,0.0,59.09,-0.02393,66.67,1.0,0.0,0.84,CDO
226,233,7,5.8,296.22,model_b_exit,2021-12-09,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-11-30,CDO,0.26775,strong,False,False,False,13.11,-1.43,13.77,balanced,False,strong,7.12,-14.12,52.31,-0.00352,23.19,1.0,0.0,0.79,CDO
235,249,14,3.7,,end,2021-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-12-13,CDO,0.26775,strong,False,False,False,15.71,-4.71,16.55,balanced,False,,,,,,,,,,CDO
48,70,22,-45.33,307.12,signal,2022-04-20,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-03-18,CDO,0.25,strong,False,False,False,-5.06,-5.06,5.41,balanced,False,weak,-37.4,-33.87,10.53,-0.29042,6.67,0.0,0.0,1.02,CDO
117,136,19,-5.88,277.58,model_b_exit,2022-07-25,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-06-28,CDO,0.26775,weak,False,False,True,25.93,-26.09,-7.36,balanced,False,weak,-4.19,-5.88,50.0,0.04031,2.94,0.0,0.0,0.55,CDO
148,162,14,-10.26,194.41,model_b_exit,2022-08-30,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-08-10,CDO,0.34,strong,False,False,False,8.33,0.0,11.11,balanced,False,weak,-4.11,0.0,30.0,-0.02508,0.0,0.0,0.0,0.73,CDO
