entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,exit_trend,exit_dist_sma20,exit_ret_5d,exit_rsi14,exit_macd_hist,price_max_profit_pct,exit_above_sma20,exit_above_ema8,exit_vol_ratio,symbol
59,66,7,0.0,287.76,model_b_exit,2020-04-13,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-01,CDO,0.26775,weak,False,False,True,0.0,-20.0,-6.43,balanced,False,weak,-1.84,0.0,50.0,0.01407,12.5,0.0,0.0,0.18,CDO
106,113,7,0.0,312.43,model_b_exit,2020-06-19,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-06-10,CDO,0.25,strong,False,False,False,-10.0,-10.0,2.27,balanced,False,moderate,-2.17,0.0,50.0,0.00172,11.11,0.0,0.0,0.66,CDO
170,181,11,37.5,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-16,CDO,0.26775,weak,False,False,True,-11.11,-11.11,-1.23,balanced,False,,,,,,,,,,CDO
40,74,34,50.0,363.4,model_b_exit,2021-04-26,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-03-08,CDO,0.26775,strong,False,False,False,25.0,0.0,21.21,balanced,False,moderate,-3.38,-16.67,56.1,-0.07966,115.0,0.0,0.0,0.76,CDO
101,107,6,-6.25,270.92,model_b_exit,2021-06-14,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-06-04,CDO,0.26775,moderate,False,False,False,10.34,-3.03,8.47,balanced,False,weak,-0.66,-3.23,53.33,-7e-05,0.0,0.0,0.0,0.62,CDO
125,131,6,-11.54,266.74,model_b_exit,2021-07-16,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-07-08,CDO,0.26775,weak,False,False,True,-7.14,-16.13,-8.93,balanced,False,weak,-12.71,-4.17,31.25,-0.03249,0.0,0.0,0.0,0.34,CDO
168,184,16,13.33,317.54,model_b_exit,2021-10-01,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-09-09,CDO,0.26775,moderate,False,False,False,20.0,-3.23,24.22,balanced,False,moderate,-3.95,-12.82,51.28,-0.08664,46.67,0.0,0.0,0.36,CDO
195,249,54,100.0,,end,2021-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-10-18,CDO,0.26775,strong,False,False,False,16.67,-4.55,13.21,balanced,False,,,,,,,,,,CDO
48,70,22,-45.33,307.12,signal,2022-04-20,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-03-18,CDO,0.25,strong,False,False,False,-5.06,-5.06,5.41,balanced,False,weak,-37.4,-33.87,10.53,-0.29042,6.67,0.0,0.0,1.02,CDO
117,136,19,-5.88,277.58,model_b_exit,2022-07-25,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-06-28,CDO,0.26775,weak,False,False,True,25.93,-26.09,-7.36,balanced,False,weak,-4.19,-5.88,50.0,0.04031,2.94,0.0,0.0,0.55,CDO
148,162,14,-10.26,194.41,model_b_exit,2022-08-30,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-08-10,CDO,0.34,strong,False,False,False,8.33,0.0,11.11,balanced,False,weak,-4.11,0.0,30.0,-0.02508,0.0,0.0,0.0,0.73,CDO
