entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,exit_trend,exit_dist_sma20,exit_ret_5d,exit_rsi14,exit_macd_hist,price_max_profit_pct,exit_above_sma20,exit_above_ema8,exit_vol_ratio,symbol
59,65,6,12.5,287.76,model_b_exit,2020-04-10,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-01,CDO,0.26775,weak,False,False,True,0.0,-20.0,-6.43,balanced,False,weak,10.43,28.57,50.0,0.0177,12.5,1.0,1.0,0.81,CDO
106,110,4,11.11,312.43,model_b_exit,2020-06-16,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-06-10,CDO,0.25,strong,False,False,False,-10.0,-10.0,2.27,balanced,False,strong,10.5,11.11,60.0,0.0089,11.11,1.0,1.0,0.32,CDO
170,174,4,37.5,308.56,model_b_exit,2020-12-22,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-16,CDO,0.26775,weak,False,False,True,-11.11,-11.11,-1.23,balanced,False,moderate,31.74,57.14,71.43,0.02997,37.5,1.0,1.0,3.82,CDO
175,179,4,-9.09,264.79,model_b_exit,2020-12-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-23,CDO,0.26775,strong,False,False,False,37.5,0.0,29.41,balanced,False,strong,12.36,-9.09,57.14,0.01652,0.0,1.0,1.0,2.56,CDO
180,181,1,0.0,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-30,CDO,0.26775,strong,False,False,False,0.0,0.0,21.55,balanced,False,,,,,,,,,,CDO
40,44,4,-10.0,268.89,model_b_exit,2021-03-12,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-03-08,CDO,0.26775,strong,False,False,False,25.0,0.0,21.21,balanced,False,strong,4.65,-10.0,62.5,0.0138,0.0,1.0,0.0,0.93,CDO
47,51,4,-5.0,273.89,model_b_exit,2021-03-23,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-03-17,CDO,0.26775,strong,False,False,False,5.26,0.0,13.31,balanced,False,strong,3.83,0.0,57.14,0.00688,0.0,1.0,0.0,0.58,CDO
55,59,4,4.76,278.82,model_b_exit,2021-04-02,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-03-29,CDO,0.26775,strong,False,False,False,5.0,0.0,9.95,balanced,False,strong,11.39,10.0,75.0,0.0158,4.76,1.0,1.0,1.71,CDO
69,73,4,-11.11,302.13,model_b_exit,2021-04-23,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-04-16,CDO,0.25,strong,False,False,False,2.86,-16.28,29.73,balanced,False,strong,4.75,-17.95,61.9,-0.04254,0.0,1.0,0.0,0.55,CDO
101,105,4,-6.25,270.84,model_b_exit,2021-06-10,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-06-04,CDO,0.26775,moderate,False,False,False,10.34,-3.03,8.47,balanced,False,moderate,0.17,-9.09,50.0,0.00512,0.0,1.0,0.0,0.57,CDO
