entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,exit_trend,exit_dist_sma20,exit_ret_5d,exit_rsi14,exit_macd_hist,price_max_profit_pct,exit_above_sma20,exit_above_ema8,exit_vol_ratio,symbol
59,86,27,0.0,292.0,signal,2020-05-13,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-01,CDO,0.26775,weak,False,False,True,0.0,-20.0,-6.43,balanced,False,weak,-5.33,-11.11,50.0,-0.00281,12.5,0.0,0.0,1.63,CDO
106,125,19,-11.11,314.15,v32_hap_preempt,2020-07-07,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-06-10,CDO,0.25,strong,False,False,False,-10.0,-10.0,2.27,balanced,False,weak,-13.98,-11.11,33.33,-0.01325,11.11,0.0,0.0,4.24,CDO
170,181,11,37.5,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-16,CDO,0.26775,weak,False,False,True,-11.11,-11.11,-1.23,balanced,False,,,,,,,,,,CDO
40,95,55,40.0,363.4,signal,2021-05-27,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-03-08,CDO,0.26775,strong,False,False,False,25.0,0.0,21.21,balanced,False,moderate,-4.27,-6.67,50.0,-0.02672,115.0,0.0,0.0,0.93,CDO
101,123,22,-21.88,271.08,signal,2021-07-06,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-06-04,CDO,0.26775,moderate,False,False,False,10.34,-3.03,8.47,balanced,False,weak,-14.24,-10.71,12.5,-0.05564,0.0,0.0,0.0,1.5,CDO
125,154,29,-15.38,268.57,signal,2021-08-18,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-07-08,CDO,0.26775,weak,False,False,True,-7.14,-16.13,-8.93,balanced,False,weak,2.56,0.0,60.0,0.03616,0.0,1.0,0.0,0.87,CDO
168,249,81,180.0,,end,2021-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-09-09,CDO,0.26775,moderate,False,False,False,20.0,-3.23,24.22,balanced,False,,,,,,,,,,CDO
48,56,8,-5.33,307.12,v32_hap_preempt,2022-03-30,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-03-18,CDO,0.25,strong,False,False,False,-5.06,-5.06,5.41,balanced,False,moderate,-5.08,-8.97,35.71,-0.05878,6.67,0.0,0.0,1.12,CDO
117,139,22,0.0,277.58,signal,2022-07-28,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-06-28,CDO,0.26775,weak,False,False,True,25.93,-26.09,-7.36,balanced,False,weak,2.26,0.0,54.55,0.03074,2.94,1.0,1.0,0.98,CDO
148,170,22,-15.38,194.41,signal,2022-09-13,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-08-10,CDO,0.34,strong,False,False,False,8.33,0.0,11.11,balanced,False,weak,-4.49,0.0,44.44,-0.0322,0.0,0.0,1.0,0.34,CDO
