entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,exit_trend,exit_dist_sma20,exit_ret_5d,exit_rsi14,exit_macd_hist,price_max_profit_pct,exit_above_sma20,exit_above_ema8,exit_vol_ratio,symbol
54,75,21,4.22,294.27,signal,2020-04-24,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-03-25,AAV,0.262395,weak,False,False,True,-2.18,-29.42,-15.02,high_beta,False,weak,0.08,-5.62,47.5,0.04819,12.66,1.0,0.0,1.1,AAV
87,128,41,14.08,229.75,signal,2020-07-10,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-14,AAV,0.3332,weak,False,False,True,2.23,-9.25,0.29,high_beta,False,moderate,-2.91,-1.88,33.33,-0.0385,30.58,0.0,0.0,0.66,AAV
144,195,51,81.39,365.96,signal,2020-10-14,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-03,AAV,0.262395,weak,False,False,True,4.4,-15.87,-7.82,high_beta,False,moderate,-4.02,-2.27,30.61,-0.14765,108.44,0.0,0.0,0.71,AAV
224,251,27,105.55,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-11-24,AAV,0.25,weak,False,True,False,4.25,0.0,3.02,high_beta,False,,,,,,,,,,AAV
15,46,31,-6.75,202.81,signal,2020-03-13,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-01-30,ACB,0.34500000000000003,strong,False,False,False,-1.3,-3.68,1.37,bank,False,weak,-11.69,-13.01,38.85,-0.12147,12.78,0.0,0.0,1.3,ACB
89,107,18,12.4,207.12,peak_protect_dist,2020-06-11,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-18,ACB,0.34500000000000003,strong,False,False,False,0.48,0.0,4.41,bank,False,strong,3.36,-3.15,66.31,0.01991,17.49,1.0,0.0,1.64,ACB
108,140,32,-6.51,119.04,signal,2020-07-28,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-06-12,ACB,0.46,strong,False,False,False,-2.75,-4.33,2.75,bank,False,weak,-3.6,-6.9,41.62,-0.05666,1.27,0.0,0.0,0.99,ACB
154,246,92,41.48,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-17,ACB,0.36800000000000005,strong,False,False,False,8.44,0.0,8.0,bank,False,,,,,,,,,,ACB
60,82,22,29.18,308.63,peak_protect_dist,2020-05-07,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-03,ACV,0.26775,weak,False,False,True,1.34,-26.65,-9.03,balanced,False,strong,2.87,0.69,59.27,-0.04808,38.09,1.0,1.0,0.55,ACV
83,120,37,1.37,232.85,signal,2020-06-30,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-08,ACV,0.31875,strong,False,False,False,-3.03,-7.25,1.12,balanced,False,moderate,-7.59,-7.47,21.93,-0.45079,19.46,0.0,0.0,0.65,ACV
171,198,27,2.12,109.3,signal,2020-10-19,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-09-10,ACV,0.5,strong,False,False,False,4.26,0.0,8.71,balanced,False,moderate,-2.05,-1.09,27.97,-0.34054,9.3,0.0,0.0,0.52,ACV
215,251,36,20.9,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-11-11,ACV,0.5,strong,False,False,False,6.18,0.0,6.41,balanced,False,,,,,,,,,,ACV
40,62,22,-23.01,235.16,signal,2020-04-07,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-03-05,BCG,0.3,weak,False,True,False,8.31,0.0,7.18,balanced,False,weak,-3.05,13.48,38.99,-0.00443,1.47,0.0,1.0,0.32,BCG
64,120,56,19.47,303.15,peak_protect_dist,2020-06-30,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-09,BCG,0.26775,weak,False,False,True,14.41,-14.66,-0.76,balanced,False,moderate,-2.14,-1.88,40.62,-0.01119,30.53,0.0,0.0,1.77,BCG
123,174,51,23.44,245.55,signal,2020-09-15,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-07-03,BCG,0.31875,moderate,False,False,False,6.98,-2.6,4.66,balanced,False,moderate,-0.74,0.73,45.63,-0.02435,32.94,0.0,0.0,0.99,BCG
176,206,30,-6.4,110.69,signal,2020-10-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-09-17,BCG,0.5,strong,False,False,False,6.84,0.0,7.42,balanced,False,weak,-10.35,-9.01,9.47,-0.07251,10.6,0.0,0.0,0.95,BCG
229,251,22,60.21,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-01,BCG,0.5,strong,False,False,False,-1.45,-2.66,1.9,balanced,False,,,,,,,,,,BCG
63,115,52,11.82,314.49,signal,2020-07-21,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-08,BCM,0.25,strong,False,False,False,-0.82,-1.27,9.29,balanced,False,moderate,-0.7,-0.73,44.58,-0.09326,13.93,0.0,0.0,0.19,BCM
125,152,27,43.62,207.59,peak_protect_dist,2020-09-22,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-04,BCM,0.4,strong,False,True,False,10.69,0.0,8.96,balanced,False,strong,5.44,-3.47,63.32,-0.42046,65.52,1.0,0.0,0.47,BCM
199,224,25,2.73,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-11-26,BCM,0.3,weak,False,True,False,6.11,0.0,3.98,balanced,False,,,,,,,,,,BCM
15,36,21,-13.68,193.41,signal,2020-02-28,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-01-30,BID,0.34500000000000003,strong,False,False,False,-2.4,-5.04,4.32,bank,False,weak,-9.7,-8.09,38.93,-0.30939,3.23,0.0,0.0,0.96,BID
89,119,30,-1.05,130.59,signal,2020-06-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-18,BID,0.46,moderate,False,False,False,1.06,-2.01,5.23,bank,False,weak,-6.43,-6.78,31.39,-0.22904,13.11,0.0,0.0,1.08,BID
129,150,21,-6.78,190.87,signal,2020-08-11,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-07-13,BID,0.34500000000000003,moderate,False,False,False,3.0,-0.72,2.66,bank,False,weak,-0.65,1.59,43.47,0.0455,0.73,0.0,1.0,0.98,BID
163,206,43,-4.67,123.53,signal,2020-10-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-28,BID,0.46,moderate,False,True,False,4.09,0.0,4.55,bank,False,weak,-6.16,-9.98,40.44,-0.20693,5.9,0.0,0.0,1.14,BID
232,251,19,16.93,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-04,BID,0.46,strong,False,False,False,-1.88,-2.25,2.07,bank,False,,,,,,,,,,BID
61,69,8,-6.59,269.11,fast_exit_loss,2020-04-16,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-06,BSR,0.26775,weak,False,False,True,10.79,-15.29,-0.07,balanced,False,weak,1.21,-1.81,53.42,0.05076,0.0,1.0,1.0,1.07,BSR
87,98,11,-4.57,194.41,fast_exit_loss,2020-05-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-14,BSR,0.34,strong,False,False,False,8.45,0.0,7.61,balanced,False,moderate,-1.72,-3.01,41.38,-0.01045,0.0,0.0,0.0,0.4,BSR
102,111,9,-8.97,195.76,fast_exit_loss,2020-06-17,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-06-04,BSR,0.34,strong,False,False,False,21.86,0.0,19.57,balanced,False,strong,2.13,-7.73,60.75,-0.0246,1.35,1.0,0.0,0.37,BSR
113,128,15,-4.02,273.89,fast_exit_loss,2020-07-10,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-06-19,BSR,0.26775,strong,False,False,False,5.75,-6.42,5.2,balanced,False,moderate,-0.1,2.78,41.24,-0.01063,0.0,0.0,0.0,0.83,BSR
173,205,32,-1.54,107.89,signal,2020-10-28,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-09-14,BSR,0.5,strong,False,False,False,2.91,0.0,3.32,balanced,False,weak,-5.91,-5.67,33.71,-0.03637,7.46,0.0,0.0,1.67,BSR
225,251,26,30.11,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-11-25,BSR,0.375,strong,False,False,False,4.07,-1.14,7.49,balanced,False,,,,,,,,,,BSR
21,42,21,-14.21,148.11,signal,2020-03-09,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-02-07,BVH,0.4,weak,False,False,True,1.71,-11.53,-5.84,balanced,False,weak,-8.56,-6.21,34.21,-0.10382,0.0,0.0,0.0,1.11,BVH
55,76,21,17.6,296.21,peak_protect_dist,2020-04-27,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-03-26,BVH,0.26775,weak,False,False,True,6.48,-29.08,-11.37,balanced,False,moderate,2.34,-2.92,43.56,0.25802,23.03,1.0,0.0,0.41,BVH
83,113,30,3.35,110.4,signal,2020-06-19,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-08,BVH,0.5,moderate,False,True,False,3.68,-1.45,2.46,balanced,False,moderate,-0.76,2.48,45.82,-0.28119,10.25,0.0,1.0,1.15,BVH
144,205,61,16.25,179.0,signal,2020-10-28,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-03,BVH,0.4,weak,False,False,True,6.56,-10.64,-4.56,balanced,False,moderate,-3.92,-4.8,50.98,-0.20837,30.33,0.0,0.0,1.17,BVH
223,251,28,16.19,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-11-23,BVH,0.5,strong,False,False,False,5.2,-0.16,6.53,balanced,False,,,,,,,,,,BVH
15,42,27,-1.44,180.71,signal,2020-03-09,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-01-30,CTG,0.375,strong,False,False,False,-2.28,-4.95,4.13,balanced,False,weak,-8.53,-5.91,35.51,-0.09551,14.0,0.0,0.0,1.38,CTG
61,119,58,8.91,217.36,signal,2020-06-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-06,CTG,0.34,weak,False,False,True,5.75,-17.93,-0.48,balanced,False,moderate,-6.43,-6.62,33.12,-0.11244,23.91,0.0,0.0,0.86,CTG
127,148,21,-5.62,150.23,signal,2020-08-07,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-07-09,CTG,0.4,moderate,False,False,False,8.03,0.0,5.37,balanced,False,weak,0.14,7.32,43.26,0.01537,0.0,1.0,1.0,0.98,CTG
161,241,80,40.09,140.51,peak_protect_dist,2020-12-17,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-26,CTG,0.5,strong,False,False,False,6.0,0.0,6.86,balanced,False,strong,1.37,1.74,54.79,-0.02857,43.36,1.0,0.0,1.49,CTG
243,251,8,-0.87,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-21,CTG,0.5,strong,False,False,False,-0.12,-0.12,2.96,balanced,False,,,,,,,,,,CTG
39,60,21,-9.09,98.79,signal,2020-04-03,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-03-04,DCM,0.5,strong,False,True,False,2.8,-0.23,3.25,balanced,False,weak,0.5,0.5,59.09,-0.00309,0.0,1.0,1.0,1.67,DCM
69,107,38,25.22,134.31,peak_protect_dist,2020-06-11,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-16,DCM,0.5,strong,False,False,False,3.37,-0.22,10.56,balanced,False,moderate,-3.3,-1.71,41.61,-0.04653,35.87,0.0,0.0,2.35,DCM
113,139,26,-11.15,108.82,v32_hap_preempt,2020-07-27,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-06-19,DCM,0.5,strong,False,False,False,4.56,-0.96,3.46,balanced,False,weak,-10.95,-10.57,25.0,-0.08214,8.72,0.0,0.0,2.22,DCM
158,224,66,43.78,147.53,signal,2020-11-24,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-21,DCM,0.5,moderate,False,True,False,4.96,0.0,8.27,balanced,False,moderate,-0.26,-1.19,45.21,-0.0786,51.81,0.0,0.0,1.58,DCM
234,251,17,9.87,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-08,DCM,0.5,strong,False,False,False,4.9,0.0,3.42,balanced,False,,,,,,,,,,DCM
16,36,20,-0.87,191.8,signal,2020-02-28,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-01-31,DGC,0.34500000000000003,strong,False,False,False,-0.43,-3.9,0.59,momentum,False,weak,-0.15,-0.87,51.02,-0.00784,1.59,0.0,0.0,0.67,DGC
74,110,36,49.17,224.79,peak_protect_dist,2020-06-16,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-23,DGC,0.36800000000000005,strong,False,False,False,10.67,0.0,15.4,momentum,False,strong,3.59,-5.58,60.53,-0.11916,60.74,1.0,0.0,0.26,DGC
123,134,11,-7.78,117.57,fast_exit_loss,2020-07-28,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-07-03,DGC,0.46,strong,False,False,False,2.97,-1.97,4.21,momentum,False,moderate,-5.16,-6.39,36.13,-0.09949,0.0,0.0,0.0,1.65,DGC
158,195,37,5.5,201.44,signal,2020-10-22,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-31,DGC,0.34500000000000003,strong,False,False,False,7.7,-1.39,13.0,momentum,False,moderate,-2.59,-2.4,42.11,-0.12028,11.47,0.0,0.0,0.44,DGC
205,242,37,17.31,135.43,peak_protect_dist,2020-12-28,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-11-05,DGC,0.46,strong,False,False,False,4.46,-2.68,1.54,momentum,False,strong,0.62,0.5,51.2,-0.05616,18.39,1.0,0.0,0.87,DGC
243,245,2,-0.58,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-29,DGC,0.46,strong,False,False,False,7.17,0.0,7.04,momentum,False,,,,,,,,,,DGC
23,46,23,-1.68,164.75,signal,2020-03-13,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-02-11,DIG,0.4,weak,False,False,True,4.48,-9.81,-4.32,balanced,False,weak,-9.24,-13.59,38.98,-0.07838,14.7,0.0,0.0,1.57,DIG
64,107,43,10.7,212.09,peak_protect_dist,2020-06-11,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-09,DIG,0.34,weak,False,False,True,4.75,-4.64,1.07,balanced,False,strong,0.47,-2.29,53.5,0.01484,18.31,1.0,0.0,2.04,DIG
123,144,21,-4.63,105.91,signal,2020-08-03,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-07-03,DIG,0.5,strong,False,False,False,6.58,-2.33,4.55,balanced,False,weak,-4.26,0.44,18.97,-0.0663,5.75,0.0,0.0,0.73,DIG
160,251,91,115.4,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-25,DIG,0.375,strong,False,False,False,0.43,0.0,2.5,balanced,False,,,,,,,,,,DIG
65,104,39,11.37,229.84,peak_protect_dist,2020-06-08,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-10,DPM,0.31875,strong,False,False,False,10.69,0.0,14.02,balanced,False,strong,1.66,-1.89,63.83,-0.01424,15.45,1.0,1.0,1.51,DPM
105,141,36,-8.43,170.76,signal,2020-07-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-06-09,DPM,0.375,strong,False,False,False,3.16,-2.97,2.21,balanced,False,weak,-5.9,-9.13,38.85,-0.04193,3.45,0.0,0.0,1.19,DPM
158,205,47,3.87,165.59,signal,2020-10-28,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-21,DPM,0.4,strong,False,False,False,9.85,0.0,11.82,balanced,False,weak,-6.41,-5.74,23.68,-0.05103,15.64,0.0,0.0,1.24,DPM
211,251,40,9.97,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-11-05,DPM,0.4,strong,False,False,False,7.48,-1.71,1.21,balanced,False,,,,,,,,,,DPM
37,59,22,-14.1,99.02,signal,2020-04-01,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-03-02,EIB,0.5,moderate,False,True,False,2.86,0.0,1.84,balanced,False,weak,-5.9,-5.0,33.89,-0.05786,0.0,0.0,0.0,1.48,EIB
62,83,21,-1.69,273.22,signal,2020-05-08,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-07,EIB,0.26775,weak,False,False,True,-1.27,-8.54,-2.4,balanced,False,weak,0.55,1.64,53.95,0.03169,0.0,1.0,1.0,1.17,EIB
92,126,34,1.42,155.13,signal,2020-07-08,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-21,EIB,0.4,strong,False,False,False,13.34,0.0,12.59,balanced,False,moderate,-1.55,-0.61,35.64,-0.06409,4.87,0.0,0.0,0.77,EIB
180,227,47,0.0,103.14,signal,2020-11-27,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-09-23,EIB,0.5,moderate,False,True,False,0.82,-2.03,0.41,balanced,False,weak,-0.77,-0.89,39.34,-0.00656,2.97,0.0,0.0,0.32,EIB
243,251,8,4.6,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-21,EIB,0.4,moderate,False,True,False,6.98,0.0,6.88,balanced,False,,,,,,,,,,EIB
81,118,37,3.77,144.76,signal,2020-06-26,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-06,FPT,0.425,strong,False,False,False,4.31,0.0,6.3,defensive,False,moderate,-1.38,-0.3,34.68,-0.06601,9.31,0.0,0.0,0.39,FPT
129,241,112,18.6,155.8,peak_protect_dist,2020-12-17,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-07-13,FPT,0.425,moderate,False,True,False,3.94,0.0,3.62,defensive,False,strong,0.72,0.0,52.3,-0.02131,20.74,1.0,0.0,1.61,FPT
243,251,8,2.78,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-21,FPT,0.425,strong,False,False,False,0.53,0.0,2.24,defensive,False,,,,,,,,,,FPT
19,46,27,-10.79,221.98,v32_hap_preempt,2020-03-13,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-02-05,FRT,0.34,weak,False,False,True,-4.47,-22.95,-8.85,balanced,False,weak,-21.31,-26.08,22.43,-0.24789,29.26,0.0,0.0,1.02,FRT
75,83,8,-11.32,272.12,fast_exit_loss,2020-05-08,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-04-24,FRT,0.26775,strong,False,False,False,30.93,0.0,47.66,balanced,False,strong,8.24,-3.53,67.33,0.01343,0.0,1.0,1.0,0.93,FRT
84,120,36,8.04,335.15,signal,2020-06-30,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-11,FRT,0.25,strong,False,False,False,2.76,-11.91,6.26,balanced,False,weak,-12.4,-12.57,21.32,-0.23907,37.54,0.0,0.0,0.46,FRT
166,193,27,-0.82,173.28,signal,2020-10-12,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-09-03,FRT,0.375,strong,False,False,False,1.68,-1.27,5.69,balanced,False,moderate,-3.94,-1.9,31.25,-0.05609,6.32,0.0,0.0,1.28,FRT
233,251,18,23.07,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-07,FRT,0.4,strong,False,False,False,9.46,0.0,12.09,balanced,False,,,,,,,,,,FRT
84,117,33,-0.82,158.4,signal,2020-06-25,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-11,GAS,0.4,moderate,False,False,False,14.42,0.0,9.74,balanced,False,moderate,-3.25,0.27,37.22,-0.33781,8.22,0.0,0.0,0.58,GAS
159,203,44,-1.37,103.97,signal,2020-10-26,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-24,GAS,0.5,strong,False,False,False,1.39,0.0,4.7,balanced,False,moderate,-1.96,-2.7,47.57,-0.16446,3.83,0.0,0.0,0.68,GAS
232,251,19,1.3,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-04,GAS,0.5,strong,False,False,False,2.39,0.0,7.4,balanced,False,,,,,,,,,,GAS
54,80,26,6.34,291.74,signal,2020-05-05,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-03-25,GEX,0.26775,weak,False,False,True,-3.02,-23.06,-9.33,balanced,False,weak,-3.19,-7.39,50.65,-0.03735,18.69,0.0,0.0,0.94,GEX
87,144,57,18.0,181.17,signal,2020-08-03,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-14,GEX,0.4,moderate,False,True,False,6.84,-2.44,4.05,balanced,False,moderate,-2.64,3.75,28.88,-0.19567,32.65,0.0,1.0,0.76,GEX
149,188,39,11.23,171.14,signal,2020-10-05,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-10,GEX,0.4,strong,False,False,False,10.61,-1.61,5.46,balanced,False,moderate,-3.38,0.84,32.89,-0.1731,21.75,0.0,0.0,0.44,GEX
201,226,25,-3.05,151.85,signal,2020-11-26,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-10-22,GEX,0.4,weak,False,False,True,-3.75,-10.98,-5.69,balanced,False,weak,3.16,0.96,61.31,0.15424,1.13,1.0,0.0,0.47,GEX
244,251,7,1.86,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-22,GEX,0.5,moderate,False,True,False,5.75,0.0,5.97,balanced,False,,,,,,,,,,GEX
82,117,35,7.95,115.13,signal,2020-06-25,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-05-07,GMD,0.5,strong,False,False,False,0.54,-1.59,4.79,balanced,False,moderate,-0.6,1.82,38.6,-0.0497,15.28,0.0,0.0,0.3,GMD
154,202,48,17.47,123.16,signal,2020-10-23,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-08-17,GMD,0.5,strong,False,False,False,5.21,0.0,8.02,balanced,False,moderate,-1.03,0.63,23.91,-0.11064,23.9,0.0,1.0,0.94,GMD
216,248,32,21.67,178.46,peak_protect_dist,2020-12-28,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-11-12,GMD,0.4,strong,False,False,False,12.35,0.0,10.81,balanced,False,strong,2.75,-6.44,61.46,-0.12937,30.05,1.0,0.0,0.6,GMD
249,251,2,-0.29,,end,2020-12-31,0.5,0.05,0,1.0,0,0,0,0.5,2,2020-12-29,GMD,0.425,strong,False,False,False,-2.54,-4.38,4.31,balanced,False,,,,,,,,,,GMD
